"年度","火葬利用件数 全体[件]","火葬利用件数 港区[件]","火葬利用件数 品川区[件]","火葬利用件数 目黒区[件]","火葬利用件数 大田区[件]","火葬利用件数 世田谷区[件]","火葬利用件数 他[件]","葬儀式場利用件数 全体[件]","葬儀式場利用件数 港区[件]","葬儀式場利用件数 品川区[件]","葬儀式場利用件数 目黒区[件]","葬儀式場利用件数 大田区[件]","葬儀式場利用件数 世田谷区[件]","葬儀式場利用件数 他[件]"
"2014","6868","266","1221","232","4404","533","212","1361","62","318","37","828","103","13"
"2015","6942","265","1202","258","4397","558","262","1359","54","317","35","852","90","11"
"2016","7177","288","1262","246","4518","583","280","1357","64","305","28","872","76","12"
"2017","7285","273","1269","254","4512","655","322","1368","57","327","34","834","104","12"
"2018","7411","308","1373","256","4596","609","269","1368","69","352","34","812","91","10"

"令和元年度港区行政資料集　施設利用状況一覧 臨海斎場","Ver","Ver201903",,,,,,,,,,,,
