"年度","ひろば利用人数  [人]","一時保育利用人数  [人]","子育て・家族支援者養成講座認定者(３級) [人]","子育て・家族支援者養成講座認定者(２級) [人]","子育て・家族支援者養成講座認定者(１級) [人]","地域保育コース 一時預かり事業[人]","ファミリー・サポート・センター事業[人]","地域子育て支援拠点事業[人]"
"2015","23119","7140","17","14","4",,,
"2016","22095","6737",,,,"80","76","10"
"2017","24321","6762",,,,"149","141","31"
"2018","25332","7456",,,,"76","74","12"
"2019","22866","7886",,,,"30","26",

"令和2年度港区行政資料集　みなと子育てサポートハウス事業実施状況（あい・ぽーと）","Ver202003",,,,,,,
