年月日[西暦],港区総数日本人世帯数[世帯],港区総数日本人人口男[人],港区総数日本人人口女[人],港区総数日本人人口計[人],港区総数外国人世帯数[世帯],港区総数外国人人口男[人],港区総数外国人人口女[人],港区総数外国人人口計[人],港区総数複数国籍世帯数[世帯],港区総数合計世帯数[世帯],港区総数合計人口男[人],港区総数合計人口女[人],港区総数合計人口計[人],芝地区総合支所管内日本人世帯数[世帯],芝地区総合支所管内日本人人口男[人],芝地区総合支所管内日本人人口女[人],芝地区総合支所管内日本人人口計[人],芝地区総合支所管内外国人世帯数[世帯],芝地区総合支所管内外国人人口男[人],芝地区総合支所管内外国人人口女[人],芝地区総合支所管内外国人人口計[人],芝地区総合支所管内複数国籍世帯数[世帯],芝地区総合支所管内合計世帯数[世帯],芝地区総合支所管内合計人口男[人],芝地区総合支所管内合計人口女[人],芝地区総合支所管内合計人口計[人],麻布地区総合支所管内日本人世帯数[世帯],麻布地区総合支所管内日本人人口男[人],麻布地区総合支所管内日本人人口女[人],麻布地区総合支所管内日本人人口計[人],麻布地区総合支所管内外国人世帯数[世帯],麻布地区総合支所管内外国人人口男[人],麻布地区総合支所管内外国人人口女[人],麻布地区総合支所管内外国人人口計[人],麻布地区総合支所管内複数国籍世帯数[世帯],麻布地区総合支所管内合計世帯数[世帯],麻布地区総合支所管内合計人口男[人],麻布地区総合支所管内合計人口女[人],麻布地区総合支所管内合計人口計[人],赤坂地区総合支所管内日本人世帯数[世帯],赤坂地区総合支所管内日本人人口男[人],赤坂地区総合支所管内日本人人口女[人],赤坂地区総合支所管内日本人人口計[人],赤坂地区総合支所管内外国人世帯数[世帯],赤坂地区総合支所管内外国人人口男[人],赤坂地区総合支所管内外国人人口女[人],赤坂地区総合支所管内外国人人口計[人],赤坂地区総合支所管内複数国籍世帯数[世帯],赤坂地区総合支所管内合計世帯数[世帯],赤坂地区総合支所管内合計人口男[人],赤坂地区総合支所管内合計人口女[人],赤坂地区総合支所管内合計人口計[人],高輪地区総合支所管内日本人世帯数[世帯],高輪地区総合支所管内日本人人口男[人],高輪地区総合支所管内日本人人口女[人],高輪地区総合支所管内日本人人口計[人],高輪地区総合支所管内外国人世帯数[世帯],高輪地区総合支所管内外国人人口男[人],高輪地区総合支所管内外国人人口女[人],高輪地区総合支所管内外国人人口計[人],高輪地区総合支所管内複数国籍世帯数[世帯],高輪地区総合支所管内合計世帯数[世帯],高輪地区総合支所管内合計人口男[人],高輪地区総合支所管内合計人口女[人],高輪地区総合支所管内合計人口計[人],芝浦港南地区総合支所管内日本人世帯数[世帯],芝浦港南地区総合支所管内日本人人口男[人],芝浦港南地区総合支所管内日本人人口女[人],芝浦港南地区総合支所管内日本人人口計[人],芝浦港南地区総合支所管内外国人世帯数[世帯],芝浦港南地区総合支所管内外国人人口男[人],芝浦港南地区総合支所管内外国人人口女[人],芝浦港南地区総合支所管内外国人人口計[人],芝浦港南地区総合支所管内複数国籍世帯[世帯],芝浦港南地区総合支所管内合計世帯数[世帯],芝浦港南地区総合支所管内合計人口男[人],芝浦港南地区総合支所管内合計人口女[人],芝浦港南地区総合支所管内合計人口計[人]
20020901,88793,76422,87404,163826,-,-,-,-,-,-,-,-,-,14061,11994,13361,25355,-,-,-,-,-,-,-,-,-,23455,19196,22134,41330,-,-,-,-,-,-,-,-,-,15783,13140,16017,29157,-,-,-,-,-,-,-,-,-,24415,21524,25160,46684,-,-,-,-,-,-,-,-,-,11079,10568,10732,21300,-,-,-,-,-,-,-,-,-
20021001,88815,76421,87356,163777,-,-,-,-,-,-,-,-,-,14064,12000,13328,25328,-,-,-,-,-,-,-,-,-,23435,19185,22092,41277,-,-,-,-,-,-,-,-,-,15802,13141,16022,29163,-,-,-,-,-,-,-,-,-,24449,21531,25196,46727,-,-,-,-,-,-,-,-,-,11065,10564,10718,21282,-,-,-,-,-,-,-,-,-
20021101,88873,76405,87295,163700,-,-,-,-,-,-,-,-,-,14087,11989,13334,25323,-,-,-,-,-,-,-,-,-,23455,19189,22097,41286,-,-,-,-,-,-,-,-,-,15777,13120,15960,29080,-,-,-,-,-,-,-,-,-,24467,21523,25203,46726,-,-,-,-,-,-,-,-,-,11087,10584,10701,21285,-,-,-,-,-,-,-,-,-
20021201,88983,76414,87349,163763,-,-,-,-,-,-,-,-,-,14117,11987,13354,25341,-,-,-,-,-,-,-,-,-,23518,19196,22118,41314,-,-,-,-,-,-,-,-,-,15801,13147,15959,29106,-,-,-,-,-,-,-,-,-,24468,21510,25209,46719,-,-,-,-,-,-,-,-,-,11079,10574,10709,21283,-,-,-,-,-,-,-,-,-
20030101,89260,76550,87621,164171,-,-,-,-,-,-,-,-,-,14387,12213,13619,25832,-,-,-,-,-,-,-,-,-,23550,19164,22145,41309,-,-,-,-,-,-,-,-,-,15793,13136,15937,29073,-,-,-,-,-,-,-,-,-,24464,21484,25201,46685,-,-,-,-,-,-,-,-,-,11066,10553,10719,21272,-,-,-,-,-,-,-,-,-
20030201,89554,76830,87874,164704,-,-,-,-,-,-,-,-,-,14605,12455,13818,26273,-,-,-,-,-,-,-,-,-,23625,19206,22187,41393,-,-,-,-,-,-,-,-,-,15797,13134,15947,29081,-,-,-,-,-,-,-,-,-,24468,21498,25211,46709,-,-,-,-,-,-,-,-,-,11059,10537,10711,21248,-,-,-,-,-,-,-,-,-
20030301,89626,76808,87947,164755,-,-,-,-,-,-,-,-,-,14625,12446,13819,26265,-,-,-,-,-,-,-,-,-,23637,19193,22201,41394,-,-,-,-,-,-,-,-,-,15823,13134,15975,29109,-,-,-,-,-,-,-,-,-,24509,21524,25253,46777,-,-,-,-,-,-,-,-,-,11032,10511,10699,21210,-,-,-,-,-,-,-,-,-
20030401,89928,76704,87993,164697,-,-,-,-,-,-,-,-,-,14776,12446,13927,26373,-,-,-,-,-,-,-,-,-,23782,19232,22278,41510,-,-,-,-,-,-,-,-,-,15831,13095,15925,29020,-,-,-,-,-,-,-,-,-,24559,21503,25269,46772,-,-,-,-,-,-,-,-,-,10980,10428,10594,21022,-,-,-,-,-,-,-,-,-
20030501,90330,76805,88195,165000,-,-,-,-,-,-,-,-,-,14896,12523,13983,26506,-,-,-,-,-,-,-,-,-,23886,19263,22351,41614,-,-,-,-,-,-,-,-,-,15883,13097,15954,29051,-,-,-,-,-,-,-,-,-,24672,21511,25327,46838,-,-,-,-,-,-,-,-,-,10993,10411,10580,20991,-,-,-,-,-,-,-,-,-
20030601,90758,77060,88533,165593,-,-,-,-,-,-,-,-,-,14940,12530,13985,26515,-,-,-,-,-,-,-,-,-,23979,19320,22458,41778,-,-,-,-,-,-,-,-,-,15927,13099,15980,29079,-,-,-,-,-,-,-,-,-,24700,21504,25334,46838,-,-,-,-,-,-,-,-,-,11212,10607,10776,21383,-,-,-,-,-,-,-,-,-
