,令和元年,令和２年,令和３年,令和４年,令和５年
20歳未満,48,38,65,68,49
20歳代,1764,1632,1618,1775,1997
30歳代,2375,2411,2195,2288,2532
40歳代,2285,2243,2015,2086,2118
50歳代,1113,1254,1149,1145,1246
60歳代,419,474,411,428,518
70歳以上,406,548,523,545,594
不明,25,27,35,54,38
