,令和元年,令和２年,令和３年,令和４年,令和５年
婚姻関係,6120,6382,5866,6070,6458
内縁関係,301,363,280,331,347
同棲関係,2014,1882,1865,1988,2287
総計,8435,8627,8011,8389,9092
注釈　関係は元を含む。,,,,,
