,令和元年,令和２年,令和３年,令和４年,令和５年
20歳未満,95,86,98,101,110
20歳代,2073,1948,1909,2031,2245
30歳代,2545,2442,2250,2419,2648
40歳代,2103,2151,1940,1956,2000
50歳代,922,1101,1008,1044,1141
60歳代,331,432,357,360,418
70歳以上,361,460,443,471,521
不明,5,7,6,7,9
