"年度[西暦]","鋼橋 橋数[橋]","鋼橋 延長[メートル]","鋼橋 面積[平方メートル]","鉄筋コンクリート橋 橋数[橋]","鉄筋コンクリート橋 延長[メートル]","鉄筋コンクリート橋 面積[平方メートル]","石橋 橋数[橋]","石橋 延長[メートル]","石橋 面積[平方メートル]","木橋 橋数[橋]","木橋 延長[メートル]","木橋 面積[平方メートル]","合計 橋数[橋]","合計 延長[メートル]","合計 面積[平方メートル]"
"2017","28","1038","13866","3","117","1257","0","0","0","0","0","0","31","1155","15123"
"2018","28","1038","13838","3","117","1257","0","0","0","0","0","0","31","1155","15095"
"2019","28","1038","13838","3","117","1257","0","0","0","0","0","0","31","1155","15095"
"2020","28","1038","14136","3","117","1257","0","0","0","0","0","0","31","1155","15393"
"2021","28","1038","14136","3","117","1257","0","0","0","0","0","0","31","1155","15393"

"令和3年度港区行政資料集　構造別橋りょう数","Ver202104",,,,,,,,,,,,,,
