Ｎｏ．,国籍,第１位,人数（人）,第２位,人数（人）,第３位,人数（人）
1,中国,新宿区,14069,江戸川区,13227,江東区,12548
2,韓国・朝鮮,新宿区,10142,足立区,7784,荒川区,5686
3,フィリピン,足立区,3372,江戸川区,2484,大田区,2257
4,ベトナム,新宿区,3186,豊島区,2575,江戸川区,1367
5,ネパール,新宿区,2869,豊島区,2340,大田区,1620
6,米国,港区,3231,世田谷区,1359,渋谷区,1294
7,インド,江戸川区,2840,江東区,1606,台東区,655
8,タイ,新宿区,712,江戸川区,460,大田区,408
9,ミャンマー,新宿区,1686,豊島区,1425,北区,778
10,英国,港区,771,世田谷区,648,渋谷区,619
