区分,東京都,全国に占める割合（％）,調査年度（年）
会社企業数（社）,259771,15.2,2012
資本１０億円以上企業数（社）,2748,46.1,2012
外資系企業数（社）,2376,76.5,2014
学数（校）,139,17.8,2014
