"年度","ひろば利用人数  [人]","一時保育利用人数  [人]","地域保育コース 一時預かり事業[人]","ファミリー・サポート・センター事業[人]","地域子育て支援拠点事業[人]"
"2016","22095","6737","80","76","10"
"2017","24321","6762","149","141","31"
"2018","25332","7456","76","74","12"
"2019","22866","7886","30","26",
"2020","7315","3774","49","48","11"

"令和3年度港区行政資料集　みなと子育てサポートハウス事業実施状況（あい・ぽーと）","Ver202103",,,,
