施設名,所在地,開設年月日,施設内容,面積(㎡),収容定員,利用対象,管理方式
向島言問会館,向島2-17-11,昭44.11.1,長寿室,78,30,高齢者,指定管理者
向島言問会館,向島2-17-11,昭44.11.1,読書室　　(夜間開放),117,30,一般区民,指定管理者
菊川分室,菊川3-21-6　菊川グリーンハイツ内,昭55.9.5,長寿室,35,30,高齢者,委託
菊川分室,菊川3-21-6　菊川グリーンハイツ内,昭55.9.5,長寿室　　（夜間利用）,35,12,一般区民,委託
柳島集会室,横川5-2-17　柳島小学校併設,昭57.5.20,長寿室,52,30,高齢者,委託
柳島集会室,横川5-2-17　柳島小学校併設,昭57.5.20,長寿室　　（夜間利用）,52,30,一般区民,委託
京島会館,京島2-15-5,昭61.4.23,長寿室,46,30,高齢者,委託
京島会館,京島2-15-5,昭61.4.23,長寿室　　(夜間開放),46,30,一般区民,委託
立川集会所,立川1-5-2,昭54.9.1,会議室,50,20,一般区民,指定管理者
寺島集会所,東向島1-23-10,昭56.5.1,和室,53,30,一般区民,指定管理者
千歳集会所,千歳2-2-5,昭57.1.15,和室,71,40,一般区民,指定管理者
千歳集会所,千歳2-2-5,昭57.1.15,多目的室1,34,20,一般区民,指定管理者
千歳集会所,千歳2-2-5,昭57.1.15,多目的室2,16,10,一般区民,指定管理者
八広中央集会所,八広3-14-5,昭57.1.15,和室,78,40,一般区民,指定管理者
,,,多目的室,41,20,一般区民,指定管理者
東あずま公園集会所,立花2-32-12,昭57.1.15,和室,39,30,一般区民,委託
,,,多目的室,42,20,一般区民,委託
東駒形集会所,東駒形4-14-1,昭57.5.1,和室,52,30,一般区民,指定管理者
曳舟集会所,東向島2-17-14,昭60.7.1,和室,72,30,一般区民,指定管理者
西あずま集会所,文花1-19-1,昭61.2.1,和室,59,30,一般区民,指定管理者
押上集会所,押上1-47-6,昭62.4.1,和室,64,30,一般区民,指定管理者
東向島集会所,東向島4-8-12,昭62.10.1,和室,60,40,一般区民,指定管理者
東向島集会所,東向島4-8-12,昭62.10.1,多目的室,81,40,一般区民,指定管理者
八広一丁目集会所,八広1-19-14,昭63.2.1,和室,70,30,一般区民,指定管理者
梅若橋集会所,堤通2-9-1,昭63.5.1,和室,122,30,一般区民,指定管理者
梅若橋集会所,堤通2-9-1,昭63.5.1,多目的室,84,40,一般区民,指定管理者
梅若橋集会所,堤通2-9-1,昭63.5.1,料理室,108,30,一般区民,指定管理者
東墨田うめぞの集会所,東墨田3-19-1,平1.2.1,第一和室,53,30,一般区民,指定管理者
東墨田うめぞの集会所,東墨田3-19-1,平1.2.1,第二和室,13,10,一般区民,指定管理者
横川三丁目集会所,横川3-12-12,平5.2.1,和室,71,30,一般区民,指定管理者
横川三丁目集会所,横川3-12-12,平5.2.1,多目的室,95,40,一般区民,指定管理者
横川三丁目集会所,横川3-12-12,平5.2.1,集会室,68,30,一般区民,指定管理者
横川集会所,横川5-9-1,平7.5.1,和室,107,30,一般区民,休止中
江東橋集会所,江東橋5-16-15,平8.4.1,和室,51,20,一般区民,指定管理者
江東橋集会所,江東橋5-16-15,平8.4.1,多目的室,55,20,一般区民,指定管理者
一寺言問集会所,東向島1-20-6,平8.5.1,多目的室,60,30,一般区民,指定管理者
立花児童館,立花1-27-9,昭51.5.5,談話室,40,20,高齢者,直営
みどりｺﾐｭﾆﾃｨｾﾝﾀｰ集会室,緑3-7-3,平7.6.1,和室,69,30,一般区民,指定管理者
八広図書館,八広5-10-1-104,昭55.10.1,ホール　　（卓球室）,138,100,一般区民(団体)  ※団体利用のないときは、個人利用を認める,直営（夜間は高齢者事業団に委託）
八広図書館,八広5-10-1-104,昭55.10.1,集会室,48,36,一般区民(団体)  ※団体利用のないときは、個人利用を認める,直営（夜間は高齢者事業団に委託）
八広図書館,八広5-10-1-104,昭55.10.1,集会和室(12畳2室）,40,36,一般区民(団体)  ※団体利用のないときは、個人利用を認める,直営（夜間は高齢者事業団に委託）
業平三丁目集会所,業平3-2-5,平11.4.1,多目的室,90,30,一般区民,指定管理者
業平三丁目集会所,業平3-2-5,平11.4.1,和室,92,30,一般区民,指定管理者
業平三丁目集会所,業平3-2-5,平11.4.1,小多目的室,22,10,一般区民,指定管理者
業平三丁目集会所,業平3-2-5,平11.4.1,ﾄﾚｰﾆﾝｸﾞ室,98,30,一般区民,指定管理者
立花四丁目集会所,立花4-8-10,平11.7.1,多目的室,180,40,一般区民,指定管理者
立花四丁目集会所,立花4-8-10,平11.7.1,和室,71,30,一般区民,指定管理者
京島第一集会所,京島3-3-6,平12.3.1,集会室,102,40,一般区民,指定管理者
京島第二集会所,京島3-52-8,平12.4.1,集会室,102,40,一般区民,指定管理者
なりひら神明橋集会所,業平5-6-2,平12.4.1,和室,92,40,一般区民,指定管理者
なりひら神明橋集会所,業平5-6-2,平12.4.1,多目的室,81,30,一般区民,指定管理者
墨田集会所,墨田2-14-4,平14.10.1,和室,81,30,一般区民,指定管理者
墨田集会所,墨田2-14-4,平14.10.1,多目的室,118,40,一般区民,指定管理者
太平四丁目集会所,太平4-1-4,平18.6.1,集会室,67,20,一般区民,指定管理者
