住宅の種類,,住宅名,戸数,所在地,開設年月日,制度
区営住宅(東京都からの移管住宅),,立花三丁目第2アパート,48,立花3-18-1,平7.4.1,公営住宅法
区営住宅(東京都からの移管住宅),,文花二丁目アパート,66,文花2-7-2,平8.4.1,公営住宅法
区営住宅(東京都からの移管住宅),,錦糸一丁目第2アパ－ト,91,錦糸1-2-5,平16.4.1,公営住宅法
区営住宅(東京都からの移管住宅),,墨田一丁目アパ－ト,60,墨田1-13-8,平17.4.1,公営住宅法
区営住宅(東京都からの移管住宅),,東向島五丁目アパート,33,東向島5-16-15,平25.4.1,公営住宅法
区民住宅,直接建設,シティハイム押上,12,押上2-10-17,平7.4.1,特定優良賃貸住宅の供給の促進に関する法律
区民住宅,直接建設,シティハイム墨田,32,墨田3-17-9,平7.5.1,特定優良賃貸住宅の供給の促進に関する法律
区民住宅,直接建設,シティハイム立花,19,立花4-8-10,平11.8.1,特定優良賃貸住宅の供給の促進に関する法律
区民住宅,借上,シティハイム千歳 （注5）,27,千歳3-10-12,平7.10.1,特定優良賃貸住宅の供給の促進に関する法律
区民住宅,借上,シティハイム八広 （注6）,12,八広4-48-6,平8.3.1,特定優良賃貸住宅の供給の促進に関する法律
区民住宅,借上,シティハイム石原,37,石原2-11-5,平9.6.1,特定優良賃貸住宅の供給の促進に関する法律
区民住宅,借上,シティハイム京島,20,京島3-34-7,平9.7.1,特定優良賃貸住宅の供給の促進に関する法律
区民住宅,借上,シティハイム八広第二,16,八広6-44-10,平9.11.1,特定優良賃貸住宅の供給の促進に関する法律
区民住宅,借上,シティハイム亀沢,32,亀沢3-12-5,平10.1.17,特定優良賃貸住宅の供給の促進に関する法律
区民住宅,指定法人管理型住宅,ファミーユタカダ,13,本所4-30-10,平12.5.1,特定優良賃貸住宅の供給の促進に関する法律
区民住宅,指定法人管理型住宅,コンポステラ飯塚,27,石原1-23-2,平12.7.1,特定優良賃貸住宅の供給の促進に関する法律
区民住宅,指定法人管理型住宅,アビタシオンＯＨＹＡ,24,江東橋5-8-9,平13.6.1,特定優良賃貸住宅の供給の促進に関する法律
高齢者向け優良賃貸住宅（指定法人管理型住宅）,,セイカガーデニアガーデン,33,石原2-8-11,平19.9.1,高齢者の居住の安定確保に関する法律
高齢者向け優良賃貸住宅（指定法人管理型住宅）,,日の出ハイツ,28,京島1-42-15,平18.2.1,高齢者の居住の安定確保に関する法律
シルバ―ピア,区営,すみだふれあいセンターピア緑,20,緑4-35-6,平5.5.1,公営住宅法
シルバ―ピア,直接建設,シルバーハイム八広,12,八広3-13-3,平6.5.1,区単独事業
シルバ―ピア,借上,シルバーハイム墨田,18,墨田4-60-4,平6.3.16,特定借上･買取賃貸住宅制度要綱
シルバ―ピア,借上,シルバーハイム本所,15,本所1-4-16,平10.8.1,公営住宅法
シルバ―ピア,借上,シルバーハイム押上,19,押上3-6-7,平11.4.1,公営住宅法
シルバ―ピア,借上,シルバーハイム立花,18,立花1-29-17,平12.2.1,公営住宅法
コミュニティ住宅,,京島一丁目ｺﾐｭﾆﾃｨ住宅,36,京島1-1-2,平21.11.2,住宅市街地総合整備事業
コミュニティ住宅,,京島二丁目ｺﾐｭﾆﾃｨ住宅,4,京島2-11-2,平5.4.1,住宅市街地総合整備事業
コミュニティ住宅,,京島二丁目第二ｺﾐｭﾆﾃｲ住宅,4,京島2-23-3,平5.4.1,住宅市街地総合整備事業
コミュニティ住宅,,京島二丁目第三ｺﾐｭﾆﾃｨ住宅,6,京島2-11-6,平5.12.3,住宅市街地総合整備事業
コミュニティ住宅,,京島二丁目第四ｺﾐｭﾆﾃｲ住宅,5,京島2-4-5,平6.7.1,住宅市街地総合整備事業
コミュニティ住宅,,京島二丁目第五ｺﾐｭﾆﾃｨ住宅,6,京島2-16-6,平9.4.1,住宅市街地総合整備事業
コミュニティ住宅,,京島三丁目ｺﾐｭﾆﾃｨ住宅,26,京島3-3-1,平2.4.1,(東京都建設)
コミュニティ住宅,,京島三丁目第二ｺﾐｭﾆﾃｨ住宅,3,京島3-38-1,平2.4.1,(東京都建設)
コミュニティ住宅,,京島三丁目第三ｺﾐｭﾆﾃｨ住宅,6,京島3-37-5,平4.10.1,住宅市街地総合整備事業
コミュニティ住宅,,京島三丁目第四ｺﾐｭﾆﾃｨ住宅,15,京島3-55-7,平7.4.1,住宅市街地総合整備事業
コミュニティ住宅,,京島三丁目第五ｺﾐｭﾆﾃｨ住宅,3,京島3-6-4,平7.4.1,住宅市街地総合整備事業
コミュニティ住宅,,京島三丁目第六ｺﾐｭﾆﾃｨ住宅,9,京島3-6-1,平10.11.1,住宅市街地総合整備事業
コミュニティ住宅,,京島三丁目第七ｺﾐｭﾆﾃｨ住宅,6,京島3-3-6,平12.2.1,住宅市街地総合整備事業
コミュニティ住宅,,京島三丁目第八ｺﾐｭﾆﾃｨ住宅,10,京島3-52-8,平12.3.1,住宅市街地総合整備事業
コミュニティ住宅,,文花二丁目ｺﾐｭﾆﾃｨ住宅,12,文花2-9-7,平2.4.1,(東京都建設)
コミュニティ住宅,,八広二丁目ｺﾐｭﾆﾃｨ住宅,10,八広2-52-12,平11.2.1,住宅市街地総合整備事業
コミュニティ住宅,,立花五丁目ｺﾐｭﾆﾃｨ住宅,12,立花5-1-14,平11.2.1,住宅市街地総合整備事業
