駅名,名称,所在地,設置日,収容台数,23年度登録者数,24年度登録者数,25年度登録者数,26年度登録者数,27年度登録者数,備考
押上,浅草通り押上側,"業平2-17,業平3-15",平15.4.1,73,250,,,,,平成24年3月31日に廃止となった。
押上,浅草通り業平側,"業平3-13,14",平15.4.1,50,250,,,,,平成24年3月31日に廃止となった。
押上,駅前,押上1-8-25,平24.4.1,2549,,2475,2087,2318,2235,
押上,桜橋通り際仮設,押上2-26,平21.4.1,1000,2210,,,,,平成24年3月31日に廃止となった。
押上,第二,押上2-26,昭56.4.1,80,151,,,,,平成24年3月31日に廃止となった。
押上,中之郷,押上2-17,平15.4.1,392,635,656,636,555,721,
押上,南口臨時,"押上1-25,40,業平4-17,18",平8.11.1,270,552,,,,,平成24年3月31日に廃止となった。
小村井,第一,文花2-20,昭52.12.16,114,,,254,243,230,平成25年4月1日から、登録制に変更した（従前は自由利用）。
小村井,第二,文花2-19,平2.4.1,265,,,25,48,41,平成25年4月1日から、登録制に変更した（従前は自由利用）。
鐘ヶ淵,北,墨田5-50,昭59.9.1,92,115,130,121,117,115,
鐘ヶ淵,南,墨田3-31,平3.1.8,122,79,90,84,84,78,
菊川,北口,菊川3-16,平5.11.1,118,100,102,103,115,171,平成17年12月31日に一時廃止となり、平成19年4月1日に再開した。
菊川,北口第二,菊川3-17,平7.5.10,33,105,97,105,107,76,
菊川,新大橋通り北,菊川2-6,平5.11.1,48,90,91,84,118,76,
菊川,新大橋通り南,菊川2-5,平5.11.1,54,105,106,116,106,100,
錦糸町,北口地下,錦糸2-2-2,平9.4.1,3035,1978,1953,2054,2162,1737,
錦糸町,北斎通り路上,"錦糸1-5先,錦糸2-2先",,52,,,,,,非登録制の時間利用自転車駐車場
錦糸町,牡丹橋通り,江東橋3-1,平19.4.1,382,184,178,188,213,200,
錦糸町,南口地下,江東橋3-14-4先,平15.4.1,622,502,436,463,454,443,
錦糸町,四ツ目通り路上,錦糸1-2先,平26.10.1,55,,,,,,非登録制の時間利用自転車駐車場
京成曳舟,西臨時,京島1-39,平18.4.1,318,560,564,559,559,478,
京成曳舟,南臨時,京島1-1先,平25.4.1,44,,,36,47,60,平成28年3月31日に廃止となった。
京成曳舟,南臨時,京島1-8,平18.4.1,300,222,80,,,,平成25年3月31日に廃止となった。
とうきょうスカイツリー,仮設,業平1-16,平21.4.1,60,23,,,,,平成24年3月31日に廃止となった。
とうきょうスカイツリー,第一,向島1-32,昭63.4.11,45,,64,82,81,107,平成21年3月31日に一時廃止となり、平成24年4月1日に再開した。
とうきょうスカイツリー,第二,業平1-17,昭63.4.1,47,138,150,150,155,140,
東あずま,駅前,立花4-23,平16.4.1,150,189,179,,,,平成24年9月30日に廃止となった。
東あずま,線路沿,立花4-23,昭59.4.1,45,1,0,82,81,60,平成16年4月1日から、登録制に変更した（従前は自由利用）。
東あずま,西臨時,立花1-23先,平24.12.1,57,,,83,82,74,
東向島,高架下,"東向島4-35,43",昭62.4.6,457,617,646,662,478,593,
曳舟,高架下,東向島2-27,昭53.10.14,606,443,850,1110,1039,1098,
曳舟,東,東向島2-27,昭62.4.6,350,445,116,,,,平成24年9月30日に廃止となった。
本所吾妻橋,第一,吾妻橋2-2,平1.4.10,40,200,207,206,163,135,
本所吾妻橋,第二,"吾妻橋2-3,4",平1.4.10,94,201,202,203,199,122,
本所吾妻橋,第三,"吾妻橋3-6,7",平1.4.10,30,146,151,136,90,91,
本所吾妻橋,第四,"吾妻橋3-1,2",平1.4.10,55,250,254,201,154,170,
本所吾妻橋,西臨時,吾妻橋1-12,平18.4.1,187,167,202,207,243,223,
八広,高架下,"八広6-25,27",平14.4.1,250,700,721,,,,平成25年3月31日に廃止となった。
八広,新四ツ木橋下,"八広6-5,15",平3.11.1,163,24,27,132,100,94,
八広,第一,八広6-35,平3.11.1,57,44,56,57,57,80,
八広,第二,八広6-32,平3.11.1,23,33,30,34,34,37,
両国,高架下,亀沢1-1,平12.12.12,110,150,151,148,154,151,
両国,国技館通り路上,横網1-3先,平26.10.1,24,,,,,,非登録制の時間利用自転車駐車場
両国,西口,横網1-2,昭61.11.10,210,361,321,338,437,400,
両国,東口,横網1-3,昭56.12.9,267,1000,1021,1016,856,720,
合計,,,,,13220,12306,11762,11649,11056,
