施設名,,利用状況,,,平成23年,平成24年,平成25年,平成26年,平成27年
,家庭センター,事業,幼児・児童,回数,61,62,59,61,59
,家庭センター,事業,幼児・児童,利用人員,1837,2073,2138,2061,2094
,家庭センター,事業,高齢者事業　※,回数,1218,1207,1186,1144,322
,家庭センター,事業,高齢者事業　※,利用人員,15570,13022,11836,11440,4307
,家庭センター,事業,講習・講座,回数,5,7,9,12,12
,家庭センター,事業,講習・講座,利用人員,72,71,91,148,184
,家庭センター,事業,音楽,回数,6,4,4,4,5
,家庭センター,事業,音楽,利用人員,2753,1507,1534,1631,1944
,家庭センター,施設貸出,,総数,54576,52210,52227,46932,44056
,家庭センター,施設貸出,,1日平均,156,150,155,135,127
,家庭センター,施設貸出,,件数,4192,4174,4067,3724,3199
,社会福祉会館,事業,成人,回数,141,137,137,139,139
,社会福祉会館,事業,成人,利用人員,2676,2697,2849,2728,2153
,社会福祉会館,事業,高齢者,回数,56,57,58,55,55
,社会福祉会館,事業,高齢者,利用人員,1310,1307,1285,957,940
,社会福祉会館,事業,児童,回数,142,139,148,146,143
,社会福祉会館,事業,児童,利用人員,4238,4360,4268,4533,4384
,社会福祉会館,個人利用人員,総数,,20943,22540,21782,20817,21189
,社会福祉会館,個人利用人員,1日平均,,62,67,65.41141141,62.51351351,63
,社会福祉会館,施設貸出件数,,,1143,1228,1309,1254,1184
,社会福祉会館,同和相談,,,568,524,490,475,622
,曳舟文化センター,ホール,,,99958,108070,101211,92550,84583
,曳舟文化センター,レクリエーションホール,A,,20987,19582,18219,20428,15096
,曳舟文化センター,レクリエーションホール,B,,24950,24855,24031,24902,17851
,曳舟文化センター,第1会議室,,,14602,14834,14095,12446,9957
,曳舟文化センター,第2会議室,,,9326,9699,8919,8282,6627
,曳舟文化センター,和室,,,5275,5368,4717,3235,2430
,曳舟文化センター,茶室,,,1374,1447,1475,1249,1094
,すみだリバーサイドホール,利用件数,イベントホール,,275,250,277,274,374
,すみだリバーサイドホール,利用件数,ギャラリー,,44,49,47,50,205
,すみだリバーサイドホール,利用件数,会議室,,322,293,328,342,486
,すみだリバーサイドホール,利用件数,ミニシアター,,212,197,220,232,359
,すみだ女性センター,ホール,件数,,562,555,563,584,566
,すみだ女性センター,ホール,利用者,,21446,21194,20559,21852,21502
,すみだ女性センター,第1会議室,件数,,299,372,399,376,336
,すみだ女性センター,第1会議室,利用者,,3304,3809,3904,3748,3413
,すみだ女性センター,第2会議室,件数,,386,448,453,489,401
,すみだ女性センター,第2会議室,利用者,,8032,8944,8652,8663,7770
,すみだ女性センター,第3会議室,件数,,374,383,450,430,373
,すみだ女性センター,第3会議室,利用者,,5119,5182,5699,5286,4905
,すみだ女性センター,和室,件数,,85,121,147,125,117
,すみだ女性センター,和室,利用者,,664,917,1108,930,732
,みどりコミュニティセンター,団体利用,利用件数,,3202,3434,3442,3224,2493
,みどりコミュニティセンター,団体利用,利用人数,,89855,92567,84947,78951,65445
,みどりコミュニティセンター,個人利用人数,,,9150,9534,9810,10364,8652
,みどりコミュニティセンター,ﾍﾙｽﾄﾛﾝ利用人数,,,10525,10443,10942,9030,6787
,すみだトリフォニーホール,利用日数,大ホール,,295,301,291,295,300
,すみだトリフォニーホール,利用日数,小ホール,,319,312,321,313,311
,すみだトリフォニーホール,入場者数,大ホール,,195178,211684,222927,213674,209872
,すみだトリフォニーホール,入場者数,小ホール,,40119,45392,45799,41641,40933
,すみだ健康ハウス,利用人員,,,23798,27831,28918,27985,31304
,すみだスポーツ健康センター,有料入場者数,温水プール,,93350,100706,107989,109904,130415
,すみだスポーツ健康センター,有料入場者数,トレーニング室,,7515,6920,7535,9102,10877
地域プラザ,本所地域プラザ,利用回数[回],イベントスペースＡ,,,,106,565,696
地域プラザ,本所地域プラザ,利用回数[回],イベントスペースＢ,,,,47,464,619
地域プラザ,本所地域プラザ,利用回数[回],調理室,,,,63,202,349
地域プラザ,本所地域プラザ,利用回数[回],学び合い体験室,,,,100,365,447
地域プラザ,本所地域プラザ,利用回数[回],和室,,,,25,215,456
地域プラザ,本所地域プラザ,利用回数[回],会議室,,,,130,432,524
地域プラザ,本所地域プラザ,利用回数[回],小会議室,,,,108,405,610
地域プラザ,本所地域プラザ,利用回数[回],多目的ホール,,,,209,656,675
地域プラザ,本所地域プラザ,利用回数[回],楽屋,,,,76,252,320
地域プラザ,本所地域プラザ,利用回数[回],スタジオ,,,,172,660,813
地域プラザ,本所地域プラザ,利用人数[人],トレーニング室,,,,4674,11034,14297
地域プラザ,八広地域プラザ,利用回数[回],多目的ホール,,,,287,411,544
地域プラザ,八広地域プラザ,利用回数[回],第1楽屋,,,,92,156,187
地域プラザ,八広地域プラザ,利用回数[回],第2楽屋,,,,34,116,202
地域プラザ,八広地域プラザ,利用回数[回],音楽スタジオ,,,,212,341,540
地域プラザ,八広地域プラザ,利用回数[回],調理室,,,,127,199,298
地域プラザ,八広地域プラザ,利用回数[回],大会議室,,,,134,210,354
地域プラザ,八広地域プラザ,利用回数[回],中会議室,,,,272,429,495
地域プラザ,八広地域プラザ,利用回数[回],工作室,,,,19,104,192
地域プラザ,八広地域プラザ,利用回数[回],第1相談室,,,,85,157,274
地域プラザ,八広地域プラザ,利用回数[回],第2相談室,,,,34,54,76
地域プラザ,八広地域プラザ,利用回数[回],地域交流室,,,,229,282,338
地域プラザ,八広地域プラザ,利用時間[時間],屋内運動場,,,,2620,3124,3404
地域プラザ,八広地域プラザ,利用時間[時間],多目的運動場,,,,1998,3591,4517
地域プラザ,八広地域プラザ,利用人数[人],和室コーナー,,,,3677,4838,3490
地域プラザ,八広地域プラザ,利用人数[人],親子コーナー,,,,4845,5178,4922
地域プラザ,八広地域プラザ,利用人数[人],自習・図書コーナー,,,,2989,2498,2582
地域プラザ,八広地域プラザ,利用人数[人],トレーニングルーム,,,,611,1582,1557
地区会館,向島言問会館,利用人数[人],長寿室,,1305,1162,1193,1306,1227
地区会館,向島言問会館,利用人数[人],読書室,,0,0,0,0,0
地区会館,京島会館,利用人数[人],長寿室,,8448,7919,7532,6872,6094
地区会館,菊川分室,利用人数[人],長寿室,,1972,2350,1663,1986,2114
地区会館,柳島集会室,利用人数[人],長寿室,,1414,1325,1353,1597,1456
その他の長寿室等,家庭センター,利用人数[人],長寿室,,2113,1991,1886,1925,1971
その他の長寿室等,すみだ生涯学習ｾﾝﾀｰ別館,利用人数[人],長寿室,,2216,1923,1776,1949,1712
その他の長寿室等,東向島集会所,利用人数[人],長寿室,,2109,2080,2543,3126,3240
その他の長寿室等,八広あおぎり集会所,利用人数[人],長寿室,,2842,2658,廃止,,
その他の長寿室等,横川三丁目集会所,利用人数[人],長寿室,,2604,2648,2496,2493,2531
その他の長寿室等,みどりコミュニティセンター,利用人数[人],長寿室,,2838,2469,2588,2392,1826
その他の長寿室等,墨田集会所,利用人数[人],長寿室,,5030,5271,5427,5406,4849
その他の長寿室等,西あずま集会所,利用人数[人],長寿室,,いきいきプラザに移転,,,,
区民保養所　,伊豆高原荘,延べ利用人員,,,15063,13775,14801,15982,16958
