施設名,所在地,開設年月日,施設内容,面積(㎡),収容定員,利用対象,運営
両国駅前会館,両国2-20-12-101,昭57.8.16,和室,36(22.5畳),20,一般区民,一般財団法人墨田まちづくり公社
両国駅前会館,両国2-20-12-101,昭57.8.16,多目的室,94,40,一般区民,一般財団法人墨田まちづくり公社
吾妻橋会館,吾妻橋1-23-27,平2.1.10,和室,17（10畳）,10,一般区民,一般財団法人墨田まちづくり公社
吾妻橋会館,吾妻橋1-23-27,平2.1.10,多目的室,56,20,一般区民,一般財団法人墨田まちづくり公社
