物質番号,適正管理化学物質名,報告数,使用量,製造量,製品としての出荷量,環境への排出量,環境への排出量(内、大気）,環境への排出量(内、公共用水域）,環境への排出量(内、その他）,事業所外への移動量,事業所外への移動量（内、廃棄物）,事業所外への移動量（内、廃水(下水道））,
1,アクロレイン,,,,,,,,,,,,
2,アセトン,,,,,,,,,,,,
3,イソアミルアルコール,,,,,,,,,,,,
4,イソプロピルアルコール,,,,,,,,,,,,
5,エチレン,,,,,,,,,,,,
6,塩化スルホン酸,,,,,,,,,,,,
7,塩化ビニルモノマー,,,,,,,,,,,,
8,塩酸,,,,,,,,,,,,
9,塩素,,,,,,,,,,,,
10,カドミウム及びその化合物,,,,,,,,,,,,
11,キシレン,2,1540,0,1540,0.1,0.1,0,0,0,0,0,
12,クロム及び三価クロム化合物,,,,,,,,,,,,
13,六価クロム化合物,,,,,,,,,,,,
14,クロルピクリン,,,,,,,,,,,,
15,クロロホルム,,,,,,,,,,,,
16,酢酸エチル,,,,,,,,,,,,
17,酢酸ブチル,,,,,,,,,,,,
18,酢酸メチル,,,,,,,,,,,,
19,酸化エチレン,,,,,,,,,,,,
20,シアン化合物（錯塩及びシアン酸塩を除く無機シアン化物）,,,,,,,,,,,,
21,四塩化炭素,,,,,,,,,,,,
22,"1,2-ジクロロエタン",,,,,,,,,,,,
23,"1,1-ジクロロエチレン",,,,,,,,,,,,
24,"シス-1,2-ジクロロエチレン",,,,,,,,,,,,
25,"1,3-ジクロロプロペン",,,,,,,,,,,,
26,ジクロロメタン,,,,,,,,,,,,
27,シマジン,,,,,,,,,,,,
28,臭素化合物（臭化メチルに限る）,,,,,,,,,,,,
29,硝酸 ,,,,,,,,,,,,
30,水銀及びその化合物,,,,,,,,,,,,
31,スチレン,,,,,,,,,,,,
32,セレン及びその化合物,,,,,,,,,,,,
33,チウラム,,,,,,,,,,,,
34,チオベンカルブ,,,,,,,,,,,,
35,テトラクロロエチレン,,,,,,,,,,,,
36,"1,1,1-トリクロロエタン",,,,,,,,,,,,
37,"1,1,2-トリクロロエタン",,,,,,,,,,,,
38,トリクロロエチレン,,,,,,,,,,,,
39,トルエン,2,3160,0,3170,0.7,0.7,0,0,0,0,0,
40,鉛及びその化合物,,,,,,,,,,,,
41,ニッケル,,,,,,,,,,,,
42,ニッケル化合物,,,,,,,,,,,,
43,二硫化炭素,,,,,,,,,,,,
44,砒素及びその無機化合物,,,,,,,,,,,,
45,ＰＣＢ,,,,,,,,,,,,
46,ピリジン,,,,,,,,,,,,
47,フェノール,,,,,,,,,,,,
48,ふっ化水素及びその水溶性塩,,,,,,,,,,,,
49,ヘキサン,2,1140,0,1150,1.8,1.8,0,0,0,0,0,
50,ベンゼン,2,195,0,195,0.1,0.1,0,0,0,0,0,
51,ホルムアルデヒド,,,,,,,,,,,,
52,マンガン及びその化合物,,,,,,,,,,,,
53,メタノール,,,,,,,,,,,,
54,メチルイソブチルケトン,,,,,,,,,,,,
55,メチルエチルケトン,,,,,,,,,,,,
56,有機燐（りん）化合物（ＥＰＮに限る。）,,,,,,,,,,,,
57,硫酸,,,,,,,,,,,,
58,ほう素及びその化合物,,,,,,,,,,,,
59,"1,4-ジオキサン",,,,,,,,,,,,
,総　計,8,6035,0,6055,2.7,2.7,0,0,0,0,0,
4,67
449,青梅市新町1-21-13,35.787998,139.298141,JGD2011,都道新宿青梅線(青梅街道),b,2012-09-18,2012-09-21,4,4,4.5,1.2,68,64
450,青梅市畑中3-953-1,35.779157,139.234967,JGD2011,都道奥多摩青梅線(吉野街道),a,2012-11-27,2012-11-30,4,2,1.5,1.2,72,67
451,青梅市新町8-20,35.784454,139.309372,JGD2011,市道幹12号線,b,2012-10-09,2012-10-12,5,4,4.5,1.2,67,64
452,青梅市根ヶ布2-276,35.806583,139.265411,JGD2011,都道青梅飯能線(成木街道),a,2012-10-01,2012-10-04,4,2,1.5,1.2,70,63
453,青梅市長淵8-233-3,35.779426,139.264700,JGD2011,都道青梅あきる野線(秋川街道),c,2012-12-04,2012-12-07,4,2,2,1.4,66,60
454,青梅市日向和田3-706,35.786888,139.230652,JGD2011,国道411号(青梅街道),a,2012-09-24,2012-09-27,3,2,2,1.6,68,63
455,青梅市柚木町2-405-1,35.801417,139.210272,JGD2011,都道奥多摩青梅線(吉野街道),a,2012-10-29,2012-11-01,4,2,3,1.2,66,61
456,青梅市友田町1-817付近,35.766273,139.290848,JGD2011,国道411号,A,2012-11-07,2012-11-08,3,2,2.1,1.2,73,69
457,青梅市千ヶ瀬町6-778付近,35.786522,139.260590,JGD2011,都道新宿青梅線,B,2012-11-07,2012-11-08,4,4,3.6,1.2,69,64
458,青梅市小曾木4-2770付近,35.822802,139.282704,JGD2011,都道青梅飯能線,B,2012-11-07,2012-11-08,4,2,1.9,1.2,70,61
459,青梅市今井3-30付近,35.799538,139.311554,JGD2011,都道瑞穂富岡線,A,2012-11-07,2012-11-08,4,2,3.6,1.2,68,63
460,青梅市柚木町3-587付近,35.804771,139.208939,JGD2011,都道奥多摩青梅線,B,2012-11-07,2012-11-08,4,2,2.6,1.2,58,50
461,青梅市成木5-1485付近,35.824608,139.247711,JGD2011,都道青梅秩父線,B,2012-11-07,2012-11-08,4,2,1.8,1.2,67,59
462,青梅市今井3-15付近,35.799496,139.307220,JGD2011,都道藤橋小作線,A,2012-11-07,2012-11-08,4,4,3.0,1.2,64,60
463,青梅市河辺町8-9付近,35.785130,139.292267,JGD2011,都道成木河辺線,B,2012-11-07,2012-11-08,4,2,3.8,1.2,67,62
464,青梅市梅郷5-960付近,35.790138,139.225845,JGD2011,梅卿日向和田線,B,2012-11-07,2012-11-08,4,2,4.5,1.2,62,56
465,青梅市和田町2-633付近,35.780907,139.222275,JGD2011,都道大久野青梅線,A,2012-11-07,2012-11-08,4,2,0.8,1.2,68,63
466,府中市美好町2-4,35.672638,139.466782,JGD2011,国道20号線(甲州街道),c,2013-02-18,2013-02-19,3,4,3,1.5,73,69
467,府中市矢崎町1-5,35.663582,139.479401,JGD2011,都道9号川崎府中線(府中街道),b,2013-01-29,2013-01-30,4,2,4,1.5,69,66
468,府中市分梅町3-50,35.665642,139.459076,JGD2011,都道18号府中町田線バイパス(鎌倉街道),b,2013-01-22,2013-01-23,4,4,3,1.5,67,64
469,府中市若松町3-39,35.675034,139.506744,JGD2011,都道110号府中三鷹線(人見街道),a,2013-01-15,2013-01-16,4,2,1,1.5,63,56
470,府中市浅間町4-5,35.683331,139.499557,JGD2011,都道248号府中小平線(新小金井街道),b,2012-11-30,2012-12-01,4,2,4,1.5,66,61
