物質番号,適正管理化学物質名,報告数,使用量,製造量,製品としての出荷量,環境への排出量,環境への排出量(内、大気）,環境への排出量(内、公共用水域）,環境への排出量(内、その他）,事業所外への移動量,事業所外への移動量（内、廃棄物）,事業所外への移動量（内、廃水(下水道））,,,,,,,,,,,,,,
1,アクロレイン,,,,,,,,,,,,,,,,,,,,,,,,,
2,アセトン,194,529304,0,93215,75416.3,75302.3,110,0,259586.3,255345.3,4393.9,,,,,,,,,,,,,,
3,イソアミルアルコール,2,150200,0,40,500,500,0,0,4660,4660,0,,,,,,,,,,,,,,
4,イソプロピルアルコール,223,944463.3,0,379428.3,295747,295747,0,0,117783,101148.5,16663.5,,,,,,,,,,,,,,
5,エチレン,2,1400,0,780,330,330,0,0,290,290,0,,,,,,,,,,,,,,
6,塩化スルホン酸,,,,,,,,,,,,,,,,,,,,,,,,,
7,塩化ビニルモノマー,,,,,,,,,,,,,,,,,,,,,,,,,
8,塩酸,321,28354310,0,1130785,7235.6,7235.6,0,0,292430.2,290829,1601.2,,,,,,,,,,,,,,
9,塩素,10,534910,0,250000,0,0,0,0,0,0,0,,,,,,,,,,,,,,
10,カドミウム及びその化合物,4,3090,0,2808,0,0,0,0,280,280,0,,,,,,,,,,,,,,
11,キシレン,1309,169896372,0,168479460,313103.95,313111.35,0,10,137725.8,136304.8,1424.1,,,,,,,,,,,,,,
12,クロム及び三価クロム化合物,103,105082,0,108558.5,0,0,0,0,34241.2,33283.7,975.9,,,,,,,,,,,,,,
13,六価クロム化合物,94,97160,0,26779,0,0,0,0,9815.5,9806.4,9.9,,,,,,,,,,,,,,
14,クロルピクリン,,,,,,,,,,,,,,,,,,,,,,,,,
15,クロロホルム,72,91060,0,0,9378.2,9373.2,0,5,79368.5,79368.5,22.3,,,,,,,,,,,,,,
16,酢酸エチル,209,1761655.8,0,1139399,320799.3,320599.3,200,0,291825.2,290055.2,1736,,,,,,,,,,,,,,
17,酢酸ブチル,144,896964,0,488810,263132.8,263132.8,0,0,104544.9,104544.9,0,,,,,,,,,,,,,,
18,酢酸メチル,2,590,0,32,555,555,0,0,0,0,0,,,,,,,,,,,,,,
19,酸化エチレン,17,5689,0,0,674.3,674.3,0,0,1400,1020,380,,,,,,,,,,,,,,
20,シアン化合物（錯塩及びシアン酸塩を除く無機シアン化合物）,90,90961,0,30700,51,50,1,0,15149.8,14920.7,121,,,,,,,,,,,,,,
21,四塩化炭素,2,8430,0,0,280,280,0,0,5030,5030,0,,,,,,,,,,,,,,
22,"1,2-ジクロロエタン",1,4000,0,3800,0,0,0,0,200,200,0,,,,,,,,,,,,,,
23,"1,1-ジクロロエチレン",,,,,,,,,,,,,,,,,,,,,,,,,
24,"シス-1,2-ジクロロエチレン",,,,,,,,,,,,,,,,,,,,,,,,,
25,"1,3-ジクロロプロペン",,,,,,,,,,,,,,,,,,,,,,,,,
26,ジクロロメタン,95,370780,0,50280,255375.4,255375.4,0,0,63986.3,63766.3,225.1,,,,,,,,,,,,,,
27,シマジン,,,,,,,,,,,,,,,,,,,,,,,,,
28,臭素化合物（臭化メチルに限る）,5,1829,0,0,1829,1829,0,0,0,0,0,,,,,,,,,,,,,,
29,硝酸 ,219,3380543,0,1073757,2814.6,2814.6,0,0,77742.7,76176.7,1281,,,,,,,,,,,,,,
30,水銀及びその化合物,1,400,0,240,2,2,0,0,47,47,0,,,,,,,,,,,,,,
31,スチレン,19,76230,0,6325,3490.2,3490.2,0,0,867.4,867.4,0,,,,,,,,,,,,,,
32,セレン及びその化合物,2,590,0,590,0,0,0,0,3.7,0,3.7,,,,,,,,,,,,,,
33,チウラム,2,220,0,220,0,0,0,0,0,0,0,,,,,,,,,,,,,,
34,チオベンカルブ,,,,,,,,,,,,,,,,,,,,,,,,,
35,テトラクロロエチレン,145,134852,0,0,74844,74844,0,0,57627.6,57426.6,362,,,,,,,,,,,,,,
36,"1,1,1-トリクロロエタン",,,,,,,,,,,,,,,,,,,,,,,,,
37,"1,1,2-トリクロロエタン",,,,,,,,,,,,,,,,,,,,,,,,,
38,トリクロロエチレン,132,489480,0,17090,371176,371176,0,0,99045.2,99045,0.2,,,,,,,,,,,,,,
39,トルエン,1341,347269288,400,344848816.5,471888.64,471881.84,0,0,192783.3,188352.3,4495,,,,,,,,,,,,,,
40,鉛及びその化合物,36,701050,0,594953.1,11,11,0,0,113574,113574,1.9,,,,,,,,,,,,,,
41,ニッケル,137,457505,260,460353,0,0,0,0,6049.7,6049,0.7,,,,,,,,,,,,,,
42,ニッケル化合物,133,116708.7,1300,41700.1,53,0,53,0,59962.5,58889.5,850.9,,,,,,,,,,,,,,
43,二硫化炭素,1,120,0,0,0,0,0,0,120,120,0,,,,,,,,,,,,,,
44,砒素及びその無機化合物,2,1670,0,1670,0,0,0,0,0,0,0,,,,,,,,,,,,,,
45,ＰＣＢ,1,240,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
46,ピリジン,1,28000,0,0,50,50,0,0,28000,28000,0,,,,,,,,,,,,,,
47,フェノール,9,389350,110,251600,245,245,0,0,4842.4,4842,0.4,,,,,,,,,,,,,,
48,ふっ化水素及びその水溶性塩,42,1097164,0,76500.6,1015.5,1013.5,2,0,783457,782591,829,,,,,,,,,,,,,,
49,ヘキサン,1112,85511559,460,84794644,147932.78,147933.08,0.07,0,114229.3,113583.3,647.5,,,,,,,,,,,,,,
50,ベンゼン,995,17341236,200,17198135,9680.17,9679.27,1.7,0,532,532,2.1,,,,,,,,,,,,,,
51,ホルムアルデヒド,52,1761510,0,11730,8621.1,8621,0.1,0,24865.5,23748,1103.5,,,,,,,,,,,,,,
52,マンガン及びその化合物,32,1874640,1,1840347,44,0,44,0,14575.7,14361.7,105.9,,,,,,,,,,,,,,
53,メタノール,274,4930566.3,40000,1764327,95263.4,95200.9,34,29.5,329647.4,320124.4,9513.2,,,,,,,,,,,,,,
54,メチルイソブチルケトン,77,583675,0,472420,68439.9,68439.9,0,0,29474,29324,150,,,,,,,,,,,,,,
55,メチルエチルケトン,99,1364601,0,1133203,133526,133526,0,0,84179.9,83778.9,401,,,,,,,,,,,,,,
56,有機燐（りん）化合物（ＥＰＮに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,
57,硫酸,428,43876982.5,0,26068814.5,3164.8,3164.8,0,0,1319350.4,1315980.4,3370,,,,,,,,,,,,,,
58,ほう素及びその化合物,35,122628,0,116377,8,8,0,0,4648.1,3254,1397.9,,,,,,,,,,,,,,
59,"1,4-ジオキサン",3,60610,0,59000,71,71,0,0,1535,1535,0,,,,,,,,,,,,,,
,総　計,8229,715419668.6,42731,653017687.6,2936748.94,2936267.34,445.87,44.5,4765476.5,4713055.5,52068.8,,,,,,,,,,,,,,
