物質番号,適正管理化学物質名,報告数,使用量,製造量,製品としての出荷量,環境への排出量,環境への排出量(内、大気）,環境への排出量(内、公共用水域）,環境への排出量(内、その他）,事業所外への移動量,事業所外への移動量(内、廃棄物）,事業所外への移動量(内、廃水(下水道））,排出量、移動量の合計,順位
1,アクロレイン,,,,,,,,,,,,0,43
2,アセトン,194,529304,0,93215,75416,75302,110,0,259586,255345,4394,335003,10
3,イソアミルアルコール,2,150200,0,40,500,500,0,0,4660,4660,0,5160,30
4,イソプロピルアルコール,223,944463,0,379428,295747,295747,0,0,117783,101149,16664,413530,8
5,エチレン,2,1400,0,780,330,330,0,0,290,290,0,620,36
6,塩化スルホン酸,,,,,,,,,,,,0,43
7,塩化ビニルモノマー,,,,,,,,,,,,0,43
8,塩酸,321,28354310,0,1130785,7236,7236,0,0,292430,290829,1601,299666,12
9,塩素,10,534910,0,250000,0,0,0,0,0,0,0,0,43
10,カドミウム及びその化合物,4,3090,0,2808,0,0,0,0,280,280,0,280,38
11,キシレン,1309,169896372,0,168479460,313104,313111,0,10,137726,136305,1424,450830,6
12,クロム及び三価クロム化合物,103,105082,0,108559,0,0,0,0,34241,33284,976,34241,21
13,六価クロム化合物,94,97160,0,26779,0,0,0,0,9816,9806,10,9816,27
14,クロルピクリン,,,,,,,,,,,,0,43
15,クロロホルム,72,91060,0,0,9378,9373,0,5,79369,79369,22,88747,18
16,酢酸エチル,209,1761656,0,1139399,320799,320599,200,0,291825,290055,1736,612625,4
17,酢酸ブチル,144,896964,0,488810,263133,263133,0,0,104545,104545,0,367678,9
18,酢酸メチル,2,590,0,32,555,555,0,0,0,0,0,555,37
19,酸化エチレン,17,5689,0,0,674,674,0,0,1400,1020,380,2074,34
20,シアン化合物（錯塩及びシアン酸塩を除く無機シアン化合物,90,90961,0,30700,51,50,1,0,15150,14921,121,15201,24
21,四塩化炭素,2,8430,0,0,280,280,0,0,5030,5030,0,5310,29
22,"1,2-ジクロロエタン",1,4000,0,3800,0,0,0,0,200,200,0,200,39
23,"1,1-ジクロロエチレン",,,,,,,,,,,,0,43
24,"シス-1,2-ジクロロエチレン",,,,,,,,,,,,0,43
25,"1,3-ジクロロプロペン",,,,,,,,,,,,0,43
26,ジクロロメタン,95,370780,0,50280,255375,255375,0,0,63986,63766,225,319362,11
27,シマジン,,,,,,,,,,,,0,43
28,臭素化合物（臭化メチルに限る）,5,1829,0,0,1829,1829,0,0,0,0,0,1829,35
29,硝酸,219,3380543,0,1073757,2815,2815,0,0,77743,76177,1281,80557,19
30,水銀及びその化合物,1,400,0,240,2,2,0,0,47,47,0,49,41
31,スチレン,19,76230,0,6325,3490,3490,0,0,867,867,0,4358,33
32,セレン及びその化合物,2,590,0,590,0,0,0,0,4,0,4,4,42
33,チウラム,2,220,0,220,0,0,0,0,0,0,0,0,43
34,チオベンカルブ,,,,,,,,,,,,0,43
35,テトラクロロエチレン,145,134852,0,0,74844,74844,0,0,57628,57427,362,132472,15
36,"1,1,1-トリクロロエタン",,,,,,,,,,,,0,43
37,"1,1,2-トリクロロエタン",,,,,,,,,,,,0,43
38,トリクロロエチレン,132,489480,0,17090,371176,371176,0,0,99045,99045,0,470221,5
39,トルエン,1341,347269288,400,344848817,471889,471882,0,0,192783,188352,4495,664672,3
40,鉛及びその化合物,36,701050,0,594953,11,11,0,0,113574,113574,2,113585,16
41,ニッケル,137,457505,260,460353,0,0,0,0,6050,6049,1,6050,28
42,ニッケル化合物,133,116709,1300,41700,53,0,53,0,59963,58890,851,60016,20
43,二硫化炭素,1,120,0,0,0,0,0,0,120,120,0,120,40
44,砒素及びその無機化合物,2,1670,0,1670,0,0,0,0,0,0,0,0,43
45,ＰＣＢ,1,240,0,0,0,0,0,0,0,0,0,0,43
46,ピリジン,1,28000,0,0,50,50,0,0,28000,28000,0,28050,23
47,フェノール,9,389350,110,251600,245,245,0,0,4842,4842,0,5087,31
48,ふっ化水素及びその水溶性塩,42,1097164,0,76501,1016,1014,2,0,783457,782591,829,784473,2
49,ヘキサン,1112,85511559,460,84794644,147933,147933,0,0,114229,113583,648,262162,13
50,ベンゼン,995,17341236,200,17198135,9680,9679,2,0,532,532,2,10212,26
51,ホルムアルデヒド,52,1761510,0,11730,8621,8621,0,0,24866,23748,1104,33487,22
52,マンガン及びその化合物,32,1874640,1,1840347,44,0,44,0,14576,14362,106,14620,25
53,メタノール,274,4930566,40000,1764327,95263,95201,34,30,329647,320124,9513,424911,7
54,メチルイソブチルケトン,77,583675,0,472420,68440,68440,0,0,29474,29324,150,97914,17
55,メチルエチルケトン,99,1364601,0,1133203,133526,133526,0,0,84180,83779,401,217706,14
56,有機燐（りん）化合物（ＥＰＮに限る。）,,,,,,,,,,,,0,43
57,硫酸,428,43876983,0,26068815,3165,3165,0,0,1319350,1315980,3370,1322515,1
58,ほう素及びその化合物,35,122628,0,116377,8,8,0,0,4648,3254,1398,4656,32
59,１，４－ジオキサン,3,60610,0,59000,71,71,0,0,1535,1535,0,,43
,合計,8229,715419669,42731,653017688,2936749,2936267,446,45,4765477,4713056,52069,7702225,－
