業種番号,適正管理化学物質名,報告数,使用量,製造量,製品としての出荷量,環境への排出量,環境への排出量（内、大気）,環境への排出量（内、公共用水域）,環境への排出量（内、その他）,事業所外への移動量,事業所外への移動量（内、廃棄物）,事業所外への移動量（内、廃水(下水道））,,,,,,,,,,,,,
1200,食料品製造業,,,,,,,,,,,,,,,,,,,,,,,,
1300,飲料・たばこ・飼料製造業(下の業種を除く）,,,,,,,,,,,,,,,,,,,,,,,,
1320,酒類製造業,,,,,,,,,,,,,,,,,,,,,,,,
1350,たばこ製造業,,,,,,,,,,,,,,,,,,,,,,,,
1400,繊維工業（衣服その他の繊維製品を除く）,,,,,,,,,,,,,,,,,,,,,,,,
1500,衣服・その他の繊維製品製造業,,,,,,,,,,,,,,,,,,,,,,,,
1600,木材・木製品製造業（家具を除く）,1,110,0,0,100,100,0,0,2.2,2.2,0,,,,,,,,,,,,,
1700,家具・装備品製造業,1,280,0,0,240,240,0,0,40,40,0,,,,,,,,,,,,,
1800,パルプ・紙・紙加工品製造業,,,,,,,,,,,,,,,,,,,,,,,,
1900,出版・印刷・同関連産業（下の業種を除く）,1,460,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1931,印刷業,21,23050,0,0,16650,16650,0,0,5653,5653,0,,,,,,,,,,,,,
1941,製版業,,,,,,,,,,,,,,,,,,,,,,,,
1951,製本業,,,,,,,,,,,,,,,,,,,,,,,,
1952,印刷物加工業,,,,,,,,,,,,,,,,,,,,,,,,
2000,化学工業（下の業種を除く）,29,568710,0,484890,14300.3,14300.3,0,0,33677,33666,11.1,,,,,,,,,,,,,
2060,医薬品製造業,3,1980,0,380,0,0,0,0,212,212,0,,,,,,,,,,,,,
2100,石油製品・石炭製品製造業,3,8090,0,6090,10,10,0,0,1700.5,1700.5,0,,,,,,,,,,,,,
2200,プラスチック製品製造業,2,36000,0,5200,17170,17170,0,0,13800,13800,0,,,,,,,,,,,,,
2300,ゴム製品製造業,3,800,0,0,720,720,0,0,82,82,0,,,,,,,,,,,,,
2400,なめし革・同製品・毛皮製造業,,,,,,,,,,,,,,,,,,,,,,,,
2500,窯業・土石製品製造業,1,230,0,0,230,230,0,0,0,0,0,,,,,,,,,,,,,
2600,鉄鋼業,2,1380,0,0,1380,1380,0,0,0,0,0,,,,,,,,,,,,,
2700,非鉄金属製造業,,,,,,,,,,,,,,,,,,,,,,,,
2800,金属製品製造業（下の業種を除く）,13,6990,0,0,5870,5870,0,0,1106,1106,0,,,,,,,,,,,,,
2861,金属製品塗装業,56,54520,0,650,44960,44960,0,0,7173,7173,0,,,,,,,,,,,,,
2862,溶触めっき業（表面処理鋼材製造業を除く）,1,100,0,0,100,100,0,0,0,0,0,,,,,,,,,,,,,
2864,電気めっき業（表面処理鋼材製造業を除く）,4,1350,0,0,400,400,0,0,190,190,0,,,,,,,,,,,,,
2865,金属熱処理業,,,,,,,,,,,,,,,,,,,,,,,,
2900,一般機械器具製造業,14,19220,0,0,17870,17870,0,0,730.3,730.3,0,,,,,,,,,,,,,
3000,電気機械器具製造業（下の業種を除く）,17,29830,0,3520,18782.2,18782.2,0,0,4080,4080,0,,,,,,,,,,,,,
3060,電子応用装置製造業,,,,,,,,,,,,,,,,,,,,,,,,
3070,電気計測器製造業,1,500,0,0,310,310,0,0,190,190,0,,,,,,,,,,,,,
3100,輸送用機械器具製造業（下の業種を除く）,10,370460,0,46000,144250.8,144250.8,0,0,15128,13728,1400,,,,,,,,,,,,,
3120,鉄道車両・同部分品製造業,,,,,,,,,,,,,,,,,,,,,,,,
3140,船舶製造・修理業・舶用機関製造業,4,3310,0,0,3310,3310,0,0,57,57,0,,,,,,,,,,,,,
3200,精密機械器具製造業（下の業種を除く）,2,430,0,0,430,430,0,0,0,0,0,,,,,,,,,,,,,
3230,医療用機械器具・医療用品製造業,,,,,,,,,,,,,,,,,,,,,,,,
3300,武器製造業,,,,,,,,,,,,,,,,,,,,,,,,
3400,その他の製造業,5,1790,0,510,262,262,0,0,970,970,0,,,,,,,,,,,,,
3500,電気業,1,160,0,0,160,160,0,0,0,0,0,,,,,,,,,,,,,
3700,熱供給業,,,,,,,,,,,,,,,,,,,,,,,,
3810,上水道業,,,,,,,,,,,,,,,,,,,,,,,,
3830,下水道業,2,3800,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
3900,鉄道業,2,1700,0,720,850,850,0,0,165,165,0,,,,,,,,,,,,,
4400,倉庫業,1,580,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
5132,石油卸売業,8,63184000,0,63174000,505,505,0,0,0,0,0,,,,,,,,,,,,,
5930,燃料小売業,981,104929690,0,104218390,5408.85,5426.25,0,0,0,0,0,,,,,,,,,,,,,
7200,洗濯・理容・浴場業（下の業種を除く）,1,1300,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
7211,普通洗濯業,,,,,,,,,,,,,,,,,,,,,,,,
7213,リネンサプライ業,,,,,,,,,,,,,,,,,,,,,,,,
7430,写真業,,,,,,,,,,,,,,,,,,,,,,,,
7700,自動車整備業,41,548540,0,526500,14680.6,14680.6,0,0,2375.8,2375.8,0,,,,,,,,,,,,,
7810,機械修理業,3,2340,0,0,2140,2140,0,0,200,200,0,,,,,,,,,,,,,
8632,環境計量証明業,,,,,,,,,,,,,,,,,,,,,,,,
8700,廃棄物処理業（下の業種を除く）,1,740,0,740,0.1,0.1,0,0,0,0,0,,,,,,,,,,,,,
8710,一般廃棄物処理業,2,6710,0,0,78,78,0,0,0,0,0,,,,,,,,,,,,,
8716,ごみ処分業,2,1900,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
8722,産業廃棄物処分業,2,12000,0,0,26,26,0,0,0,0,0,,,,,,,,,,,,,
8724,特別産業廃棄物処分業,,,,,,,,,,,,,,,,,,,,,,,,
8800,医療業,33,44432,0,0,1537,1527,0,10,42459,42449,10,,,,,,,,,,,,,
9100,教育,15,19640,0,10330,286.6,286.6,0,0,6310,6310,3,,,,,,,,,,,,,
9210,自然科学研究所,9,2170,0,0,84.4,84.4,0,0,1425,1425,0,,,,,,,,,,,,,
9999,分類不明,9,5540,0,0,2,2,0,0,0,0,0,,,,,,,,,,,,,
3600,ガス業,2,1540,0,1540,0.1,0.1,0,0,0,0,0,,,,,,,,,,,,,
,総　計,1309,169896372,0,168479460,313103.95,313111.35,0,10,137725.8,136304.8,1424.1,,,,,,,,,,,,,
