,,,,,,,,,,,,
エリア,エリア,,枝番,,設置場所,ラック数,住所,ポート名称,備考,,,
1.後楽園・水道橋,E1,-,01,.,後楽橋横,15,後楽1-1,E1-01.後楽橋横,,,,
,E1,-,02,.,東京ドーム（ミーツポート）,12,後楽1-3-61,E1-02.東京ドーム（ミーツポート）,,,,
,E1,-,03,.,東京ドーム（黄色いビル横）,8,後楽1-3-61,E1-03.東京ドーム（黄色いビル横）,,,,
,E1,-,04,.,礫川公園,20,春日1-15,E1-04.礫川公園,,,,
,E1,-,05,.,春日自転車駐車場,13,春日1-15地下,E1-05.春日自転車駐車場,開設時間5：00～25：00,,,
,E1,-,06,.,文京シビックセンター,10,春日1-16-21,E1-06.文京シビックセンター,,,,
,E1,-,07,.,礫川地域活動センター,10,小石川2-18-18,E1-07.礫川地域活動センター,,,,
,E1,-,11,.,小石川運動場前,8,後楽1-8,E1-11.小石川運動場前,,,,
,E1,-,12,.,中央大学 後楽園キャンパス(休止中）,10,春日1-13-27,E1-12.中央大学 後楽園キャンパス(休止中）,,,,
,E1,-,13,.,エルアージュ小石川,10,小石川1－17－1,E1-13.エルアージュ小石川,,,,
,E1,-,14,.,いきいき礫川,4,小石川2－16－1,E1-14.いきいき礫川,,,,
,E1,-,15,.,播磨坂事業所,5,小石川5－40－21,E1-15.播磨坂事業所,,,,
,E1,-,16,.,小石川三丁目緑地,10,小石川3-24,E1-16.小石川三丁目緑地,,,,
,E1,-,17,,小石川パークスクエア,9,小石川3-10-5,E1-17小石川パークスクエア,,,,
,E1,-,18,,アーバネックス小石川春日,6,春日1-9-30,E1-18アーバネックス小石川春日,,,,
2.江戸川橋・護国寺,E2,-,01,.,江戸川橋Ｂ自転車駐車場,40,関口1-19-6,E2-01.江戸川橋Ｂ自転車駐車場,,,,
,E2,-,02,.,江戸川公園前自転車駐車場,10,関口2‐2,E2-02.江戸川公園前自転車駐車場,,,,
,E2,-,03,.,目白台運動公園,20,目白台1-19・20,E2-03.目白台運動公園,,,,
,E2,-,05,.,護国寺駅西自転車駐車場,11,音羽2-12,E2-05.護国寺駅西自転車駐車場,,,,
,E2,-,06,.,oto no ha Cafe,3,関口12-11-31,E2-06.oto no ha Cafe,,,,
,E2,-,07,.,肥後細川庭園,6,目白台1-19・20,E2-07.肥後細川庭園,,,,
,E2,-,09,.,一休橋（休止中）,5,音羽2-12,E2-09.一休橋（休止中）,,,,
,E2,-,10,.,音羽ﾊﾟｰｸﾛｰﾄﾞ北入り口,7,関口12-11-31,E2-10.音羽ﾊﾟｰｸﾛｰﾄﾞ北入り口,,,,
,E2,-,11,.,音羽ﾊﾟｰｸﾛｰﾄﾞ(キャッチボール上横）,14,,E2-11.音羽ﾊﾟｰｸﾛｰﾄﾞ(キャッチボール上横）,,,,
,E2,-,12,.,水道2丁目,9,水道2-1-5,E2-12.水道2丁目,,,,
,E2,-,13,,デルックス文京神楽坂,3,関口1-5-10,E2-13デルックス文京神楽坂,,,,
,E2,-,14,,永青文庫　ミュージアム,3,目白台1-1-1,E2-14永青文庫　ミュージアム,,,,
3.新大塚・茗荷谷,E3,-,01,.,大塚地域活動センター,6,大塚1-5-17,E3-01.大塚地域活動センター,,,,
,E3,-,02,.,教育の森公園,8,大塚3-29,E3-02.教育の森公園,,,,
,E3,-,03,.,大塚公園,10,大塚4-49,E3-03.大塚公園,,,,
,E3,-,05,.,文京スポーツセンター,30,大塚3-29-2,E3-05.文京スポーツセンター,,,,
,E3,-,07,.,小日向1丁目,6,小日向1-18,E3-07.小日向1丁目,,,,
,E3,-,08,,サガラマンション,5,大塚4-36-5,E3-08サガラマンション,,,,
