設置場所,住所,緯度,経度,写真URL,袋数,備考
関口一丁目２３（江戸川橋バス停横）,東京都文京区関口一丁目２３番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9353/1.pdf,80,土のうステーション
関口一丁目２１（華水橋右岸下流）,東京都文京区関口一丁目２１番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9354/2.pdf,80,土のうステーション
関口一丁目１８（掃部橋右岸下流）,東京都文京区関口一丁目１８番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9355/3.pdf,80,土のうステーション
関口一丁目１８（古川橋右岸上流）,東京都文京区関口一丁目１８番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9356/4.pdf,80,土のうステーション
水道二丁目５（石切橋左岸下流植込内）,東京都文京区水道二丁目５番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9357/5.pdf,53,土のうステーション
水道二丁目１（小桜橋左岸上流）,東京都文京区水道二丁目１番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9358/6.pdf,80,土のうステーション
水道一丁目３（中ノ橋左岸上流植込内）,東京都文京区水道一丁目３番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9359/7.pdf,53,土のうステーション
後楽二丁目１６（新隆慶橋左岸上流）,東京都文京区後楽二丁目１６番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9360/8.pdf,160,土のうステーション
後楽二丁目３（隆慶橋脇左岸下流）,東京都文京区後楽二丁目３番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9361/9.pdf,160,土のうステーション
後楽二丁目３（隆慶橋左岸下流）,東京都文京区後楽二丁目３番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9362/10.pdf,80,土のうステーション
後楽一丁目１（後楽園歩道橋下）,東京都文京区後楽一丁目１番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9363/11.pdf,80,土のうステーション
大塚四丁目２（健生病院前歩道）,東京都文京区大塚四丁目２番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9364/12.pdf,160,土のうステーション
小石川五丁目４１（播磨坂最下部）,東京都文京区小石川五丁目４１番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9365/13.pdf,80,土のうステーション
後楽一丁目８（小石川運動場内）,東京都文京区後楽一丁目８番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9366/14.pdf,160,施錠あり（町会が鍵所有）
根津一丁目１７（八重垣第一児童遊園内）,東京都文京区根津一丁目１７番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9367/15.pdf,70,施錠あり（町会が鍵所有）
根津二丁目２７（都道拡幅予定地内）,東京都文京区根津二丁目２７番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9368/16.pdf,300,施錠あり（町会が鍵所有）
本駒込四丁目３５（勤労福祉会館内）,東京都文京区本駒込四丁目３５番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9369/17.pdf,160,土のうステーション
音羽一丁目１８（首都高高架下）,東京都文京区音羽一丁目１８番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9370/18.pdf,80,土のうステーション
音羽一丁目１９（関口台公園前）,東京都文京区音羽一丁目１９番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9371/19.pdf,80,土のうステーション
音羽一丁目２３（第一自転車保管所横）,東京都文京区音羽一丁目２３番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9372/20.pdf,80,土のうステーション
音羽一丁目２３（関口三丁目公園前）,東京都文京区音羽一丁目２３番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9373/21.pdf,80,土のうステーション
千駄木二丁目1（千駄木二丁目交差点）,東京都文京区千駄木二丁目１番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9374/22.pdf,80,土のうステーション
本駒込四丁目３６（不忍通り歩道）,東京都文京区本駒込四丁目３６番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9375/23.pdf,80,土のうステーション
本駒込四丁目４０（動坂下交差点歩道）,東京都文京区本駒込四丁目４０番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9376/24.pdf,240,土のうステーション
千駄木三丁目４８（道灌山下交差点歩道）,東京都文京区千駄木三丁目４８番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9377/25.pdf,80,土のうステーション
千駄木三丁目３７（団子坂下交差点歩道）,東京都文京区千駄木三丁目３７番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9378/26.pdf,80,土のうステーション
大塚六丁目１６（豊島区事業用地）,東京都文京区大塚六丁目１６番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9379/27.pdf,80,土のうステーション
本駒込四丁目３９（不忍通り歩道）,東京都文京区本駒込四丁目３９番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9380/28.pdf,80,土のうステーション
千石二丁目１（千川通り歩道）,東京都文京区千石二丁目１番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9381/29.pdf,80,土のうステーション
小石川四丁目１５（播磨坂最下部）,東京都文京区小石川四丁目１５番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9382/30.pdf,80,土のうステーション
音羽一丁目１９（首都高高架下）,東京都文京区音羽一丁目１９番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9383/31.pdf,80,土のうステーション
関口一丁目２５（一休橋右岸下流階段下）,東京都文京区関口一丁目２５番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9384/32.pdf,80,土のうステーション
音羽一丁目２７（首都高高架下）,東京都文京区音羽一丁目２７番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9385/33.pdf,80,土のうステーション
大塚五丁目１８（吹上稲荷神社鳥居裏）,東京都文京区大塚五丁目１８番,,,https://www.city.bunkyo.lg.jp/var/rev0/0203/9386/34.pdf,53,土のうステーション
