施設名,所在地,回収可能なごみ
小石川運動場,文京区後楽1丁目8番23号,紙パック
文京シビックセンター,文京区春日1丁目16番21号,紙パック、衣類、蛍光管、乾電池、発泡スチロール食品トレイ、インクカートリッジ、プラスチック製ボトル、携帯電話・スマートフォン、水銀使用計器類
礫川地域活動センター,文京区小石川2丁目18番18号,紙パック、衣類、蛍光管、乾電池、発泡スチロール食品トレイ、インクカートリッジ、プラスチック製ボトル
小石川図書館,文京区小石川5丁目9番20号,紙パック
播磨坂清掃事業所,文京区小石川5丁目40番21号,紙パック、衣類、蛍光管、乾電池、発泡スチロール食品トレイ、インクカートリッジ、プラスチック製ボトル
白山東会館,文京区白山1丁目29番10号,紙パック
白山交流館,文京区白山4丁目27番11号,紙パック
東都無線株式会社,文京区千石1丁目16番14号,蛍光管
千石図書館,文京区千石1丁目25番3号,紙パック
大原地域活動センター,文京区千石1丁目4番3号,紙パック、衣類、蛍光管、乾電池、発泡スチロール食品トレイ、インクカートリッジ、プラスチック製ボトル
水道児童館,文京区水道1丁目3番26号,紙パック
水道端図書館,文京区水道2丁目16番14号,紙パック、衣類
文京総合福祉センター,文京区小日向2丁目16番15号,紙パック、衣類、乾電池、発泡スチロール食品トレイ、インクカートリッジ、プラスチック製ボトル
大塚地域活動センター,文京区大塚1丁目5番17号,紙パック、衣類、蛍光管、乾電池、発泡スチロール食品トレイ、インクカートリッジ、プラスチック製ボトル
文京スポーツセンター,文京区大塚3丁目29番2号,紙パック
大塚公園みどりの図書室,文京区大塚4丁目49番2号 大塚公園内,紙パック
フジ特販,文京区大塚5丁目7番11号,蛍光管
コモディイイダ江戸川橋店,文京区関口1丁目47番12号,蛍光管
目白台図書館,文京区関口3丁目17番9号,紙パック
音羽地域活動センター,文京区音羽1丁目22番14号,紙パック、衣類、蛍光管、乾電池、発泡スチロール食品トレイ、インクカートリッジ、プラスチック製ボトル
目白台交流館,文京区目白台3丁目18番7号 目白台総合センター内,紙パック
湯島総合センター,文京区本郷3丁目10番18号,紙パック
男女平等センター,文京区本郷4丁目8番3号,紙パック
区民センター,文京区本郷4丁目15番14号,紙パック
湯島地域活動センター,文京区本郷7丁目1番2号 文京総合体育館内,紙パック、衣類、蛍光管、乾電池、発泡スチロール食品トレイ、インクカートリッジ、プラスチック製ボトル
教育センター,文京区湯島4丁目7番10号,紙パック
向丘地域活動センター,文京区向丘1丁目20番8号,紙パック、衣類、蛍光管、乾電池、発泡スチロール食品トレイ、インクカートリッジ、プラスチック製ボトル
根津交流館,文京区根津1丁目14番3号 根津総合センター内,紙パック
根津地域活動センター,文京区根津2丁目20番7号 不忍通りふれあい館内,紙パック、衣類、蛍光管、乾電池、発泡スチロール食品トレイ、インクカートリッジ、プラスチック製ボトル
汐見地域活動センター,文京区千駄木3丁目2番6号 汐見地域センター内,紙パック、衣類、蛍光管、乾電池、発泡スチロール食品トレイ、インクカートリッジ、プラスチック製ボトル
千駄木交流館,文京区千駄木3丁目42番20号,紙パック
保健サービスセンター本郷支所,文京区千駄木5丁目20番18号,紙パック
駒込地域活動センター,文京区本駒込3丁目22番4号 本駒込地域センター内,紙パック、衣類、蛍光管、乾電池、発泡スチロール食品トレイ、インクカートリッジ、プラスチック製ボトル
勤労福祉会館,文京区本駒込4丁目35番15号,紙パック、衣類、乾電池
