停留所番号,停留所名称,始発,毎時間（分）,毎時間（分）,毎時間（分）,終発,その他
2,春日一丁目,7:53,53,13,33,19:53,
3,東洋学園大学前,7:55,55,15,35,19:55,
4,宇佐美本郷ビル前,7:56,56,16,36,19:56,
5,湯島総合センター,7:58,58,18,38,19:58,
6,湯島四丁目,8:00,0,20,40,20:00,
7,消防署前通り,8:01,1,21,41,20:01,
8,順天堂病院前,8:02,2,22,42,20:02,
9,御茶ノ水駅前,8:05,5,25,45,20:05,
10,日大病院,8:07,7,27,47,20:07,
11,新御茶ノ水駅,8:10,10,30,50,20:10,
12,聖橋,8:12,12,32,52,20:12,
13,湯島一丁目,8:14,14,34,54,20:14,
14,東都文京病院入口,8:15,15,35,55,20:15,
15,湯島天神入口,8:16,16,36,56,20:16,
16,湯島駅,8:18,18,38,58,20:18,
17,上野松坂屋前,8:20,20,40,0,20:20,
18,天神下,8:23,23,43,3,20:23,
19,湯島駅,8:25,25,45,5,20:25,
20,サミットストア湯島天神南店（湯島天神入口）,8:27,27,47,7,20:27,
21,湯島二丁目,8:29,29,49,9,20:29,
7,消防署前通り,8:30,30,50,10,20:30,
22,本郷二丁目,8:31,31,51,11,20:31,
23,菊坂通り,8:34,34,54,14,20:34,
24,菊坂下,8:36,36,56,16,20:36,
25,富坂下,8:38,38,58,18,20:38,
1,文京シビックセンター(春日駅前）,8:39,39,59,19,20:39,
2,春日一丁目,"8:43
（到着時刻）",43,3,23,"20：43
（到着時刻）",
