名称,位置,緯度,経度,,最寄駅,台数（台）,説明
水道橋A,JR水道橋駅付近(東口改札側),35.702111,139.755130,水道橋A自転車駐車場,水道橋駅,80,定期利用制
水道橋B,JR水道橋駅付近(東口改札反対側),35.702049,139.755575,水道橋B自転車駐車場,水道橋駅,80,定期利用制
湯島,東京メトロ千代田線湯島駅1番出入り口付近,35.708501,139.769144,湯島自転車駐車場,湯島駅,50,定期利用制（9月30日まで）
江戸川橋A,東京メトロ有楽町線江戸川橋駅付近(3番出入口側),35.709648,139.733015,江戸川橋A自転車駐車場,江戸川橋駅,50,定期利用制
江戸川橋B,東京メトロ有楽町線江戸川橋駅付近(高速道路側),35.710128,139.732739,江戸川橋Ｂ自転車駐車場,江戸川橋駅,210,定期利用制
江戸川公園前,東京メトロ有楽町線江戸川橋駅付近(1a出入口側),35.711034,139.730869,江戸川公園前自転車駐車場,江戸川橋駅,60,定期利用制
茗荷谷Ａ,東京メトロ丸ノ内線茗荷谷駅付近(茗荷谷駅前交番横),35.718416,139.736748,茗荷谷A自転車駐車場,茗荷谷駅,80,定期利用制
茗荷谷Ｂ,東京メトロ丸ノ内線茗荷谷駅付近(窪町東公園内) ,35.719231,139.737497,茗荷谷Ｂ自転車駐車場,茗荷谷駅,90,定期利用制
茗荷谷駅,東京メトロ丸ノ内線茗荷谷駅構内,35.716951,139.737062,茗荷谷駅自転車駐車場,茗荷谷駅,150,定期利用制
飯田橋,JR・都営大江戸線飯田橋駅付近（後楽交番横）,35.703275,139.745112,飯田橋自転車駐車場,飯田橋駅,37,定期利用制
飯田橋臨時,JR・都営大江戸線飯田橋駅付近（神田川沿い）,35.702844,139.745739,飯田橋臨時自転車駐車場,飯田橋駅,73,定期利用制
東大前,東京メトロ南北線東大前駅付近（1番出入り口側）,35.716868,139.758636,東大前自転車駐車場,東大前駅,115,定期利用制・一時利用制の併設
根津一丁目,東京メトロ千代田線根津駅付近(八重垣第一児童遊園内) ,35.718974,139.763654,根津一丁目自転車駐車場,根津駅,40,定期利用制
根津二丁目,東京メトロ千代田線根津駅付近(根津一丁目交差点付近),35.718009,139.765507,根津二丁目自転車駐車場,根津駅,20,定期利用制
本郷三丁目,都営大江戸線本郷三丁目駅付近（5番出入り口前）,35.707436,139.761297,本郷三丁目自転車駐車場,本郷三丁目駅,106,定期利用制・一時利用制の併設
本郷三丁目駅,東京メトロ丸ノ内線本郷三丁目駅構内 ,35.706467,139.759819,本郷三丁目駅自転車駐車場,本郷三丁目駅,55,定期利用制
本郷三丁目臨時,都営大江戸線本郷三丁目駅付近（3番出入り口前）,35.707351,139.760314,本郷三丁目臨時自転車駐車場,本郷三丁目駅,100,定期利用制
本駒込Ａ,東京メトロ南北線本駒込駅付近(駒本小学校側),35.724491,139.753941,本駒込A自転車駐車場,本駒込駅,100,定期利用制
本駒込Ｂ,東京メトロ南北線本駒込駅付近(浅嘉交番側) ,35.724588,139.753628,本駒込Ｂ自転車駐車場,本駒込駅,15,定期利用制
白山上,都営三田線白山駅A3出入口付近 ,35.721746,139.752223,白山上自転車駐車場,白山駅,97,定期利用制
白山下,白山下交差点付近,35.719938,139.751012,白山下自転車駐車場,白山駅,70,定期利用制
白山京華,白山京華高校付近(白山通りバイパス沿い) ,35.720831,139.750084,白山京華自転車駐車場,白山駅,70,定期利用制
千石南,都営三田線千石駅A2出入口付近(白山5丁目側),35.726979,139.746008,"千石南自転車駐車場
（一時利用制）",千石駅,277,定期利用制・一時利用制の併設
シビックセンター幼児2人同乗用,文京シビックセンター1階,35.707662,139.75209,"シビックセンター
幼児二人同乗用自転車駐車場",後楽園駅,30,定期利用制
春日,春日町交差点地下,35.708209,139.753432,春日自転車駐車場,春日駅,262,一時利用制
後楽園,礫川公園地下,35.707595,139.751705,後楽園自転車駐車場,後楽園駅,272,一時利用制
礫川公園前,礫川公園前,35.70797,139.750939,礫川公園前自転車駐車場,後楽園駅,64,一時利用制
後楽園駅前,東京メトロ丸の内線後楽園駅４a出入口前,35.707697,139.751639,後楽園駅前一時利用制自転車駐車場,後楽園駅,47,一時利用制
千石東,都営三田線千石駅A3出入口付近,35.728207,139.744849,千石東自転車駐車場,千石駅,11,一時利用制
千石西,都営三田線千石駅A4出入口付近,35.728181,139.744195,千石西自転車駐車場,千石駅,84,一時利用制
護国寺駅西,首都高速5号線護国寺IC付近 ,35.719349,139.725312,護国寺,護国寺駅,140,一時利用制
茗荷谷中央第一,アトラスタワー茗荷谷敷地内 ,35.717556,139.736175,茗荷谷中央第一自転車駐車場,茗荷谷駅,46,一時利用制
茗荷谷中央第二,アトラスタワー茗荷谷敷地内 ,35.717556,139.736175,茗荷谷中央第二自転車駐車場,茗荷谷駅,144,一時利用制
江戸川橋交番横,江戸川橋交番横,35.710355,139.731218,江戸川交番横自転車駐車場,江戸川橋駅,48,一時利用制
江戸川橋新目白通り,文京関口一郵便局前,35.71034,139.7304,江戸川橋新目白通り自転車駐車場,江戸川橋駅,25,一時利用制
