施設名,施設名（英語）,郵便番号,住所,緯度,経度,電話番号,カテゴリ,開所時刻（平日）,開所時刻（土日祝）,閉所時刻（平日）,閉所時刻（土日祝）,休館日,会議室の数（室）,ホームページアドレス,説明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
礫川地域活動センター,Rekisen Community Center,112-0002,東京都文京区小石川２丁目１８番１８号,35.711995,139.750389,03-3813-3638,地域活動センター,8:30,9:00,21:30,21:30,12月29日から翌年1月3日まで,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大原地域活動センター,Ohara Community Center,112-0011,東京都文京区千石１丁目４番３号,35.724469,139.743379,03-3946-8594,地域活動センター,8:30,8:30,21:30,21:30,12月29日から翌年1月3日まで,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大塚地域活動センター,Otsuka Community Center,112-0012,東京都文京区大塚１丁目４番１号,35.71822,139.73587,03-3947-2624,地域活動センター,8:30,8:30,21:30,21:30,12月29日から翌年1月3日まで,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
音羽地域活動センター,Otowa Community Center,112-0013,東京都文京区音羽１丁目２２番１４号,35.716467,139.727638,03-3943-0621,地域活動センター,8:30,8:30,21:30,21:30,12月29日から翌年1月3日まで,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湯島地域活動センター,Yushima Community Center,113-0033,東京都文京区本郷７丁目１番２号,35.708382,139.76318,03-3813-6554,地域活動センター,8:30,8:30,21:30,21:30,12月29日から翌年1月3日まで,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向丘地域活動センター,Mukogaoka Community Center,113-0023,東京都文京区向丘１丁目２０番８号,35.717335,139.75788,03-3813-6668,地域活動センター,8:30,8:30,21:30,21:30,12月29日から翌年1月3日まで,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
根津地域活動センター,Nezu Community Center,113-0031,東京都文京区根津２丁目２０番７号,35.719192,139.764204,03-3822-3653,地域活動センター,8:30,8:30,20:00,17:00,12月29日から翌年1月3日まで,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汐見地域活動センター,Shiomi Community Center,113-0022,東京都文京区千駄木３丁目２番６号,35.72548057,139.7613314,03-3827-8149,地域活動センター,8:30,8:30,21:30,21:30,12月29日から翌年1月3日まで,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
駒込地域活動センター,Komagome Community Center,113-0021,東京都文京区本駒込３丁目２２番４号,35.728624,139.752347,03-3824-5801,地域活動センター,8:30,8:30,21:30,21:30,"12月29日から翌年1月3日まで
毎月第2水曜日",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不忍通りふれあい館,Shinobazu-dori Fureai Hall (Community Center),113-0031,東京都文京区根津２丁目２０番７号,35.719192,139.764204,03-3822-0040,不忍通りふれあい館,8:30,8:30,21:30,21:30,"12月29日から翌年1月3日まで
毎月第3月曜日",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白山東会館,Hakusan-Higashi Community Hall,113-0001,東京都文京区白山１丁目２９番１０号,35.719136,139.753069,03-3818-1824,区民会館,9:00,9:00,21:30,21:30,12月29日から翌年1月3日まで,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
かるた記念大塚会館,Otsuka Karuta Memorial Hall,112-0012,東京都文京区大塚４丁目１３号５号,35.722937,139.734839,03-3945-0533,区民会館,9:00,9:00,21:30,21:30,12月29日から翌年1月3日まで,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
駕籠町会館,Kagomachi Community Hall,113-0033,東京都文京区本駒込６丁目２番５号,35.729497,139.743617,03-3947-0909,区民会館,9:00,9:00,21:30,21:30,12月29日から翌年1月3日まで,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大塚北会館,Otsuka-Kita Community Hall,112-0012,東京都文京区大塚６丁目１５番３号,35.72602939,139.7257752,03-3943-5711,区民会館,9:00,9:00,21:30,21:30,12月29日から翌年1月3日まで,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本郷会館,Hongo Community Hall,113-0033,東京都文京区本郷２丁目２１番７号,35.704639,139.759132,03‐3817‐6618,区民会館,9:00,9:00,21:30,21:30,12月29日から翌年1月3日まで,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
動坂会館,Dozaka Community Hall,113-0022,東京都文京区千駄木４丁目８番１４号,35.731023,139.759101,03‐3824‐5501,区民会館,9:00,9:00,21:30,21:30,12月29日から翌年1月3日まで,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白山交流館,Hakusan Community Hall,112-0001,東京都文京区白山４丁目２７番１１号,35.720574,139.748278,03-3813-8500,交流館,9:00,9:00,21:30,21:30,12月29日から翌年1月3日まで,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千駄木交流館,Sendagi Community Hall,113-0022,東京都文京区千駄木３丁目４２番２０号,35.72745,139.764118,03-3821-6695,交流館,9:00,9:00,21:30,21:30,12月29日から翌年1月3日まで,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
目白台交流館,Mejirodai Community Hall,112-0015,東京都文京区目白台３丁目１８番７号,35.717258,139.723396,03-5395-9141,交流館,9:00,9:00,21:30,21:30,12月29日から翌年1月3日まで,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
根津交流館,Nezu Community Hall,113-0031,東京都文京区根津１丁目１４番３号,35.718439,139.763222,03-3828-5269,交流館,9:00,9:00,21:30,21:30,12月29日から翌年1月3日まで,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区民センター,Kumin Center (Community Center),113-0033,東京都文京区本郷４丁目１５番１４号,35.708818,139.754156,03-3814-6731,区民センター,9:00,9:00,21:30,21:30,"12月29日から翌年1月3日まで、
第4月曜日（祝日の場合は翌日）",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男女平等センター,Bunkyo City Gender Equality Center,113-0033,東京都文京区本郷４丁目８番３号,35.708578,139.757479,03-3814-6159,男女平等センター,9:00,9:00,21:30,21:30,12月28日から翌年1月4日まで,8,,隔月1回全館清掃のため、休館日があります。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
