停留所番号,停留所名称,始発,毎時間（分）,毎時間（分）,毎時間（分）,終発,説明
6,ラクーア,7:11,11,31,51,19:51,最終「17 千駄木駅(団子坂下)」止まり
7,文京小石川クリニック（三田線春日駅）,7:13,13,33,53,19:53,最終「17 千駄木駅(団子坂下)」止まり
8,文化シヤッター前,7:14,14,34,54,19:54,最終「17 千駄木駅(団子坂下)」止まり
9,クイーンズ伊勢丹小石川店前,7:15,15,35,55,19:55,最終「17 千駄木駅(団子坂下)」止まり
10,指ヶ谷小学校,7:16,16,36,56,19:56,最終「17 千駄木駅(団子坂下)」止まり
11,白山下,7:20,20,40,0,20:00,最終「17 千駄木駅(団子坂下)」止まり
12,白山駅,7:21,21,41,1,20:01,最終「17 千駄木駅(団子坂下)」止まり
13,白山上,7:23,23,43,3,20:03,最終「17 千駄木駅(団子坂下)」止まり
14,向丘一丁目,7:25,25,45,5,20:05,最終「17 千駄木駅(団子坂下)」止まり
15,向丘二丁目,7:27,27,47,7,20:07,最終「17 千駄木駅(団子坂下)」止まり
16,日本医大病院,7:28,28,48,8,20:08,最終「17 千駄木駅(団子坂下)」止まり
17,千駄木二丁目,7:31,31,51,11,20:11,最終「17 千駄木駅(団子坂下)」止まり
18,千駄木駅（団子坂下）,7:12,32,52,12,19:52,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
19,特養ホーム千駄木の郷,7:15,35,55,15,19:55,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
20,千駄木小学校,7:16,36,56,16,19:56,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
21,駒込病院,7:18,38,58,18,19:58,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
22,本駒込三丁目,7:19,39,59,19,19:59,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
23,富士神社前,7:20,40,0,20,20:00,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
24,昭和小学校(上富士前）,7:21,41,1,21,20:01,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
25,六義園入口,7:23,43,3,23,20:03,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
26,南北線駒込駅,7:24,44,4,24,20:04,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
27,六義公園運動場入口,7:25,45,5,25,20:05,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
28,本駒込六丁目,7:27,47,7,27,20:07,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
29,千石駅,7:30,50,10,30,20:10,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
30,特養ホーム白山の郷,7:31,51,11,31,20:11,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
31,東洋大学前,7:32,52,12,32,20:12,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
32,白山五丁目,7:33,53,13,33,20:13,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
11,白山下,7:36,56,16,36,20:16,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
33,指ヶ谷小学校,7:39,59,19,39,20:19,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
34,白山一丁目,7:40,0,20,40,20:20,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
35,文化シヤッター前,7:41,1,21,41,20:21,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
36,春日後楽園皮フ科（三田線春日駅）,7:44,4,24,44,20:24,始発「17 千駄木駅(団子坂下)」発車、「6 ラクーア」終点
1,文京シビックセンター(春日駅前）,7:00,10,30,50,20:30,7時台のみ　00、20、40、50
2,小石川後楽園,7:02,?12,32,52,20:32,7時台のみ　02、22、42、52?
3,後楽一丁目,7:04,?14,34,54,20:34,7時台のみ　04、24、44、54?
4,東京ドームホテル,7:06,?16,36,56,20:36,7時台のみ　06、26、46、56?
5,ミーツポート,7:09,?19,39,59,20:39,7時台のみ　09、29、49、59?
6,ラクーア,7:11（到着時刻）,21,41,1,20:41（到着時刻）,
