停留所番号,停留所名称,始発,毎時間（分）,毎時間（分）,毎時間（分）,終発,その他
1,文京シビックセンター(春日駅前）,7:14,14,34,54,19:54,
2,小石川税務署,7:16,16,36,56,19:56,
3,後楽二丁目,7:17,17,37,57,19:57,
4,トッパンホール・印刷博物館,7:18,18,38,58,19:58,
5,水道二丁目,7:19,19,39,59,19:59,
6,文京総合福祉センター,7:21,21,41,1,20:01,
7,江戸川橋駅,7:25,25,45,5,20:05,
8,江戸川公園,7:29,29,49,9,20:09,
9,関口二丁目,7:31,31,51,11,20:11,
10,ホテル椿山荘東京,7:35,35,55,15,20:15,
11,目白台一丁目,7:37,37,57,17,20:17,
12,目白台運動公園,7:39,39,59,19,20:19,
13,日本女子大前,7:40,40,0,20,20:20,
14,目白台二丁目,7:42,42,2,22,20:22,
15,アカデミー音羽,7:44,44,4,24,20:24,
16,護国寺駅,7:46,46,6,26,20:26,
17,講談社前,7:47,47,7,27,20:27,
18,大塚二丁目,7:49,49,9,29,20:29,
19,跡見女子大西門前,7:50,50,10,30,20:30,
20,都営小日向二丁目アパート,7:52,52,12,32,20:32,
21,文京総合福祉センター,7:56,56,16,36,20:36,
22,小日向台町小学校,7:58,58,18,38,20:38,
23,小日向二丁目,7:59,59,19,39,20:39,
24,新大塚公園,8:00,0,20,40,20:40,
25,窪町小学校,8:03,3,23,43,20:43,
26,茗荷谷駅,8:04,4,24,44,20:44,
27,第一中学校,8:05,5,25,45,20:45,
28,播磨坂,8:08,8,28,48,20:48,
29,共同印刷,8:10,10,30,50,20:50,
30,小石川一丁目,8:12,12,32,52,20:52,
31,こんにゃくえんま,8:14,14,34,54,20:54,
32,富坂下,8:15,15,35,55,20:55,
1,文京シビックセンター(春日駅前）,"8:19
（到着時刻）",19,39,59,"20:59
（到着時刻）",
