投票区番号,投票区名,投票所,所在地,緯度,経度,投票区の区域
1,第 １投票区,柳町小学校(玄関ホール),東京都文京区小石川１丁目２３番１６号,35.71466227,139.7502491,春日１丁目（１～３、14～16）、小石川１丁目・２丁目・３丁目（10～39）
2,第 ２投票区,金富小学校(玄関ホール),東京都文京区春日２丁目６番１５号,35.71060601,139.7413925,後楽１丁目（４～９）・２丁目、春日１丁目（４～13）・２丁目（１～８、15～17、19～26）、水道１丁目・２丁目（１～４、16～19）、小日向１丁目（１～４、12～14、27）
3,第 ３投票区,文京総合福祉センター（リアン文京 多目的室）,東京都文京区小日向２丁目１６番１５号,35.71043906,139.7345087,水道２丁目（５～15）、小日向１丁目（５～11、15～26）・２丁目・３丁目、関口１丁目（１～21）、音羽１丁目（１～４、６、７、10～13）
4,第 ４投票区,関口台町小学校(玄関ホール),東京都文京区関口２丁目６番１号,35.7120743,139.7269041,関口１丁目（23～25、44～48）・２丁目・３丁目、目白台１丁目（21～26）、音羽１丁目（５、８、9、14、15、19～28）
5,第 ５投票区,目白台交流館(洋室),東京都文京区目白台３丁目１８番７号,35.71717246,139.7231034,目白台２丁目・３丁目
6,第 ６投票区,文京スポーツセンター(多目的室),東京都文京区大塚３丁目２９番２号,35.71888554,139.7369043,小石川５丁目（４～８、15～22、28～35）、小日向４丁目（５～９）、大塚１丁目・２丁目（１～４、12～20）・３丁目（１～25、29、30）
7,第 ７投票区,アカデミー茗台(レクリエーションホールB),東京都文京区春日２丁目９番５号,35.71370205,139.7410132,春日２丁目（９～14、1８）、小石川３丁目（１～９）・４丁目・５丁目（１～３、９～14、23～27、36～41）、白山２丁目（13、14）・３丁目（１、２）、小日向４丁目（１～４）
8,第 ８投票区,指ヶ谷小学校(玄関ホール),東京都文京区白山２丁目２８番４号,35.71756353,139.7507333,白山１丁目（１、２、５～８、11～14、16～22、30、31、33～37）・２丁目（１～12、15～39）・４丁目（１～３、27～34）・５丁目（１～５、31～36）
9,第 ９投票区,明化幼稚園(遊戯室),東京都文京区千石１丁目13番９号,35.72496123,139.7446776,白山４丁目（４～26、35～37）・５丁目（６～30）、千石１丁目（１～３、７～29）・４丁目（20～38）
10,第10投票区,林町小学校(体育館),東京都文京区千石２丁目３６番３号,35.72440128,139.741894,白山３丁目（３～７）、千石１丁目（４～６）・２丁目（９～46）・３丁目（14～41）・４丁目（１～19）
11,第11投票区,大塚小学校(玄関ホール),東京都文京区大塚４丁目１番７号,35.72372128,139.736089,千石２丁目（１～８）・３丁目（１～13）、大塚３丁目（26～28、31～44）・４丁目・５丁目（１～９）
12,第12投票区,アカデミー音羽(多目的ホール),東京都文京区大塚５丁目４０番１５号,35.71987087,139.7257024,大塚２丁目（５～11）・５丁目（16～21、39、40）、音羽１丁目（16～18）・２丁目
13,第13投票区,湯島小学校(玄関ホール),東京都文京区湯島２丁目２８番１４号,35.70673836,139.766284,本郷３丁目（１～14、17～31、35～44）、湯島１丁目・２丁目・３丁目・４丁目
14,第14投票区,本郷台中学校(体育館),東京都文京区本郷２丁目３８番２３号,35.70696524,139.7596501,後楽１丁目（１～３）、本郷１丁目（１～34）・２丁目（１～35、38～40）・３丁目（15、16、32～34）
15,第15投票区,男女平等センター(研修室Ａ),東京都文京区本郷４丁目８番３号,35.70843106,139.7577995,本郷１丁目（35）・２丁目（36、37）・４丁目・５丁目・７丁目、西片１丁目（２、15）
16,第16投票区,誠之小学校(玄関ホール),東京都文京区西片２丁目１４番６号,35.71790913,139.7542907,白山１丁目（３、４、９、10、15、23～29、32）、西片１丁目（１、３～14、17、19、20）・２丁目（１～18）
17,第17投票区,第六中学校(体育館),東京都文京区向丘１丁目２番２号,35.71705131,139.7581274,本郷６丁目、西片２丁目（19～25）、向丘１丁目（１～８、12～20）・２丁目（１～13）
18,第18投票区,不忍通りふれあい館(多目的スペース),東京都文京区根津２丁目２０番７号,35.71909532,139.7641189,弥生１丁目・２丁目、根津１丁目・２丁目
19,第19投票区,汐見小学校(玄関ホール),東京都文京区千駄木２丁目１９番２３号,35.7236873,139.7610953,千駄木１丁目・２丁目・３丁目（１、２、28～42）・５丁目（１～４）
20,第20投票区,駒本小学校(体育館),東京都文京区向丘２丁目３７番５号,35.72485013,139.7542563,向丘１丁目（９～11）・２丁目（14～39）、本駒込１丁目・３丁目（１～９、11、12、19～22）
21,第21投票区,千駄木小学校(体育館),東京都文京区千駄木５丁目４４番２号,35.72919461,139.759658,千駄木３丁目（３～27、43～52）・４丁目・５丁目（５～50）、本駒込３丁目（10、13～17）
22,第22投票区,文京区勤労福祉会館(区民会議室),東京都文京区本駒込４丁目３５番１５号,35.73350978,139.7552162,本駒込３丁目（18）・４丁目（４～11、14～49）・５丁目（27、28、35～37、39～71）
23,第23投票区,昭和小学校(玄関ホール),東京都文京区本駒込２丁目２８番３１号,35.73178238,139.7496442,本駒込２丁目（18～28）・３丁目（23～41）・４丁目（１～３、12、13）・５丁目（１～26、29～34、38、72～74）・６丁目（13～18、22～25）
24,第24投票区,駕籠町小学校(玄関ホール),東京都文京区本駒込２丁目２９番６号,35.72830979,139.746484,千石４丁目（39～46）、本駒込２丁目（１～17、29）・６丁目（１～12、19～21）
25,第25投票区,肥後細川庭園松聲閣集会室(洋室),東京都文京区目白台１丁目１番２２号,35.71304722,139.7216104,関口１丁目（26～43）、目白台１丁目（１～20）
26,第26投票区,大塚保育園(遊戯室),東京都文京区大塚６丁目２２番１９号,35.72452941,139.7259046,大塚５丁目（10～15、22～38、41）・６丁目
