"場所","年度[和暦]","透明度[メートル]","水温[度]","水素イオン濃度(pH)","溶存酸素(DO)[mg/L]","化学的酸素要求量(COD)[mg/L]","化学的酸素要求量(COD)(75%値)[mg/L]","浮遊物質(SS)[mg/L]","電気伝導率[マイクロジーメンス毎cm]"
"末広橋","平成17年度","2","19.2","7.1","5.6","7.8","-","2","19598"
"末広橋","平成18年度","1.8","18.8","7.3","5.7","10.4","-","5","18553"
"末広橋","平成19年度","2.4","19.5","7.3","6.9","10.7","-","4.4","19750"
"末広橋","平成20年度","1.94","19.6","7","6.5","7.7","-","2","16375"
"末広橋","平成21年度","2.52","19","7.3","6.3","10.1","-","2.4","17983"
"末広橋","平成22年度","2.13","18.8","7.2","5.7","8.5","-","2.7","15092"
"末広橋","平成23年度","2.46","19.5","7.2","6.5","7.4","-","1.8","16667"
"末広橋","平成24年度","2.0","18.6","7.0","6.2","6.5","-","2","17993"
"末広橋","平成25年度","2.07","19.5","7.0","5.5","6.9","7.0","1","18467"
"末広橋","平成26年度","2.49","19.8","7.3","5.9","7.7","9.4","1.7","17500"
"末広橋","平成27年度","2.25","20.1","7.2","6.2","8","8.9","1","13447"
"末広橋","平成28年度","1.69","18.7","7.1","6.4","9.5","9.8","4","14082"
"末広橋","平成29年度","1.58","20","7.1","6.4","9.6","11.0","3","12642"
"末広橋","平成30年度","1.5","21","7","7.4","8.5","8.6","2.6","14800"
"末広橋","令和元年度","1.26","20.1","6.9","6.1","10","16","4","15900"
"末広橋","令和2年度","1.62","17.9","6.8","6.8","7.3","7.1","3","15900"
"末広橋","令和3年度","1.47","19.5","7.0","8.4","6.5","6.3","7","18917"
"末広橋","令和4年度","1.47","20.4","7","6.3","7.4","7.5","2","16000"
"藻塩橋","平成17年度","2.3","20.1","7.1","5.7","9.5","-","1","13898"
"藻塩橋","平成18年度","1.9","19.1","7.3","5.1","12.1","-","3","14761"
"藻塩橋","平成19年度","2.24","20.5","7.2","6.7","12.8","-","3","15233"
"藻塩橋","平成20年度","2.2","20.3","7.1","6.1","8.3","-","2","13518"
"藻塩橋","平成21年度","2.54","19.6","7.3","5.9","10.8","-","0.7","15442"
"藻塩橋","平成22年度","2.19","19.5","7.2","5.8","9","-","1.8","13883"
"藻塩橋","平成23年度","2.48","20.3","7.2","6.1","7.9","-","2","14567"
"藻塩橋","平成24年度","2.3","20.3","7.1","6.0","6.6","-","1","16026"
"藻塩橋","平成25年度","2.06","20.5","7.0","5.5","7.8","8.7","1","16417"
"藻塩橋","平成26年度","2.17","20.3","7.3","5.6","8.8","10","2.0","13567"
"藻塩橋","平成27年度","2.35","20.6","7.1","5.8","8.5","9.3","1","12400"
"藻塩橋","平成28年度","2.06","19.7","7.0","5.3","15","21","7","10548"
"藻塩橋","平成29年度","1.53","20.7","7.0","6.3","9.6","10.0","2","11147"
"藻塩橋","平成30年度","1.62","22.1","6.8","6.5","8.7","8.9","2.5","11800"
"藻塩橋","令和元年度","1.53","21.2","6.9","5.7","11","17","3","12300"
"藻塩橋","令和2年度","1.65","19.1","6.8","6.2","7.2","7.7","2","12300"
"藻塩橋","令和3年度","1.89","20.8","6.9","7.5","6.5","6.8","4","15677"
"藻塩橋","令和4年度","1.65","21","7.1","6.4","8.5","8.6","2","12600"
"夕凪橋","平成17年度","1.6","21.6","7.1","6.2","9.3","-","2","14122"
"夕凪橋","平成18年度","1.7","20.5","7.2","6.3","12.7","-","2","13905"
"夕凪橋","平成19年度","2.08","21.8","7.1","6.7","13","-","1.9","15283"
"夕凪橋","平成20年度","1.78","21.2","7.1","6.6","9","-","2","13031"
"夕凪橋","平成21年度","2.08","21.8","7.2","6.2","12.1","-","1","15875"
"夕凪橋","平成22年度","2.1","21.1","7.1","6.2","9.8","-","1","13483"
"夕凪橋","平成23年度","2.27","21.8","7.2","6.1","8.4","-","2","16833"
"夕凪橋","平成24年度","2.0","21.3","7.1","6.0","7.4","-","2","16303"
"夕凪橋","平成25年度","2.03","20.8","7.1","6.0","7.7","8.4","1","15783"
"夕凪橋","平成26年度","1.82","22.4","7.3","5.6","8.8","9.7","2.5","14867"
"夕凪橋","平成27年度","2.15","22.4","7.1","6.0","8.7","10","2","14978"
"夕凪橋","平成28年度","2.03","20.9","7.0","6.4","12","10","4","12957"
"夕凪橋","平成29年度","1.28","21.2","7.0","6.4","9.7","11.0","3","12683"
"夕凪橋","平成30年度","1.12","23","6.9","6.4","8.3","9","1.3","13100"
"夕凪橋","令和元年度","1.43","23.0","6.8","6.0","8.3","9.2","2","14300"
"夕凪橋","令和2年度","1.45","20.7","6.8","6.5","7.5","8.2","2","14300"
"夕凪橋","令和3年度","1.41","21.4","6.9","8.2","7.2","7.0","5","15457"
"夕凪橋","令和4年度","1.44","22.9","7","6.6","8","8.9","2","14300"
"港南大橋","平成17年度","1.8","21.4","7.3","6.4","5.6","-","2","29788"
"港南大橋","平成18年度","1.8","20.7","7.6","6.6","6.9","-","3","28125"
"港南大橋","平成19年度","1.95","21.1","7.7","7.9","7.3","-","4.6","31750"
"港南大橋","平成20年度","1.94","20.9","7.4","7.3","5.6","-","3","28558"
"港南大橋","平成21年度","2.32","20.6","7.5","7.3","8","-","1.4","28917"
"港南大橋","平成22年度","2.05","20.2","7.6","6.8","6.5","-","2.3","27167"
"港南大橋","平成23年度","2.31","20.9","7.6","8.3","5.6","-","3.2","30500"
"港南大橋","平成24年度","1.8","20.7","7.4","7.1","4.7","-","3","30350"
"港南大橋","平成25年度","2.00","20.3","7.4","6.6","5.5","6.6","3","26867"
"港南大橋","平成26年度","2.07","21.3","7.5","6.3","5.5","6.0","4.5","29833"
"港南大橋","平成27年度","2.47","21.9","7.3","7.0","6.0","6.7","2","24233"
"港南大橋","平成28年度","2","20.2","7.4","8.3","6.7","8.5","7","27583"
"港南大橋","平成29年度","1.12","20.6","7.2","7.4","6.9","7.5","5","24400"
"港南大橋","平成30年度","0.93","22.4","7.4","8.6","6.1","7.3","5","24600"
"港南大橋","令和元年度","1.07","22.0","7.3","7.7","5.7","7.5","5","28900"
"港南大橋","令和2年度","1.34","19.8","6.9","7.4","6.3","5.6","8","28900"
"港南大橋","令和3年度","1.06","21.0","7.6","9.8","6.6","9.7","14","30717"
"港南大橋","令和4年度","1.59","21.9","7.4","9","6.5","8.6","4","27400"
"御楯橋","平成17年度","1.7","22.2","7.1","5.9","9.4","-","2","13339"
"御楯橋","平成18年度","1.5","21.6","7.2","6","13","-","3","12502"
"御楯橋","平成19年度","1.55","22.4","7.2","7.2","15.1","-","3.9","13258"
"御楯橋","平成20年度","1.59","22.2","7.1","6.6","10","-","3","13163"
"御楯橋","平成21年度","1.64","22.2","7.2","5.9","13.6","-","1.4","14200"
"御楯橋","平成22年度","1.74","22","7.1","5.9","11.5","-","2.1","13383"
"御楯橋","平成23年度","2.17","22.5","7.2","5.9","9.4","-","2.9","14233"
"御楯橋","平成24年度","1.7","21.6","7.2","6.1","8.5","-","3","14090"
"御楯橋","平成25年度","1.83","21.7","7.1","6.2","9.3","10","2","14100"
"御楯橋","平成26年度","1.42","22","7.3","5.7","9.7","10","3.0","12250"
"御楯橋","平成27年度","1.98","23.4","7.2","6.0","9.5","10","2","11530"
"御楯橋","平成28年度","1.83","21.7","7.1","6.9","10","12","4","11190"
"御楯橋","平成29年度","1.1","21.5","7","6.4","11.1","14.0","3","10843"
"御楯橋","平成30年度","0.9","22.9","7","6.3","9.3","10","3","11900"
"御楯橋","令和元年度","1.28","22.7","7.0","6.3","8.5","9.7","3","12500"
"御楯橋","令和2年度","1.25","21.3","6.9","6.3","8.1","8.2","2","12500"
"御楯橋","令和3年度","1.42","22.6","7.0","6.9","7.4","7.9","5","13965"
"御楯橋","令和4年度","1.4","23.2","7.2","6.6","7.8","8.3","3","13300"

"運河の水質調査","Ver202304",,,,,,,,
