アセットDB番号,台帳番号,種別,局,団体名,台帳名称,分類,所在（都道府県）,所在（区市町村）,所在（町、字）,所在（地番）,所在（その他）,住居表示,緯度（世界測地系）,経度（世界測地系）,構造,面積（㎡）,竣工日,取得年月日,階数高（地上）,高さ（m),DB追加・更新年月日
200036900,200036900,建物,総務局,,首都大学東京晴海校舎,普通財産,東京都,中央区,晴海,１丁目,1,,35.659857,139.785814,鉄骨鉄筋コンクリート造,9869.02,19960329,,7,,20191108
200031210,200031210,建物,総務局,,災害対策職員蜀江坂住宅,行政財産,東京都,新宿区,北新宿,２丁目,４２１－６,,35.699574,139.690993,鉄筋コンクリート造,1165.99,19901002,,3,,20191108
200031211,200031211,建物,総務局,,災害対策職員柏木住宅,行政財産,東京都,新宿区,北新宿,４丁目,6月1日,,35.707778,139.693718,鉄筋コンクリート造,6606.28,19901219,,5,,20191108
200031212,200031212,建物,総務局,,災害対策職員角筈第一住宅,行政財産,東京都,新宿区,西新宿,４丁目,２１７－１７,,35.685587,139.68618,鉄筋コンクリート造,1725.11,19901031,,3,,20191108
200031213,200031213,建物,総務局,,災害対策職員角筈第二住宅,行政財産,東京都,新宿区,西新宿,４丁目,２３４－１１,,35.685567,139.685849,鉄筋コンクリート造,628.71,19901031,,4,,20191108
200031214,200031214,建物,総務局,,災害対策職員角筈第三住宅,行政財産,東京都,新宿区,西新宿,４丁目,２１７－４９,,35.684755,139.686409,鉄筋コンクリート造,445.08,19901031,,4,,20191108
200031215,200031215,建物,総務局,,災害対策職員幡ケ谷住宅,行政財産,東京都,渋谷区,本町,１丁目,Feb-57,,35.682221,139.682658,鉄筋コンクリート造,981.2,19901106,,5,,20191108
200033160,200033160,建物,総務局,,災害対策職員高田馬場住宅,行政財産,東京都,新宿区,高田馬場,４丁目,９２９－１５,,35.710979,139.700936,鉄筋コンクリート造,1046.25,19920331,,3,,20191108
200037891,200037891,建物,総務局,,職員青山住宅,行政財産,東京都,港区,南青山,３丁目,56,,35.666711,139.715983,鉄筋コンクリート造,2159.38,19710703,,5,,20191108
200042403,200042403,建物,総務局,,職員立川住宅,行政財産,東京都,立川市,錦町,５丁目,１１４・１１５・１１６,,35.689999,139.412388,鉄筋コンクリート造,1234.32,19781026,,3,,20191108
200042935,200042935,建物,総務局,,職員世田谷住宅,行政財産,東京都,世田谷区,代田,３丁目,４５７－１,,35.651482,139.660027,鉄筋コンクリート造,1220,19800313,,4,,20191108
207000275,207000275,建物,総務局,,職員平野一丁目住宅,行政財産,東京都,江東区,平野,１丁目,２０－１６,,35.677943,139.799629,鉄筋コンクリート造,744.18,19931018,,5,,20191108
207000276,207000276,建物,総務局,,職員平野三丁目住宅,行政財産,東京都,江東区,平野,３丁目,３－６、３－５、１－４、１－１５,,35.678851,139.804848,鉄筋コンクリート造,1401.64,19931203,,5,,20191108
207000277,207000277,建物,総務局,,職員千石一丁目住宅（Ａ棟）,行政財産,東京都,江東区,千石,１丁目,１０－３６、１０－４７,,35.677156,139.814207,鉄筋コンクリート造,539.82,19940110,,3,,20191108
207000278,207000278,建物,総務局,,職員千石一丁目住宅（Ｂ棟）,行政財産,東京都,江東区,千石,１丁目,１０－４７,,35.677056,139.814423,鉄筋コンクリート造,303.76,19940110,,3,,20191108
207000279,207000279,建物,総務局,,職員武蔵野住宅,行政財産,東京都,武蔵野市,境,５丁目,1366-9、7、8,,35.702105,139.536442,鉄筋コンクリート造,760.27,19930225,,3,,20191108
209000377,209000377,建物,総務局,,職員福生住宅,行政財産,東京都,福生市,武蔵野台,１丁目,2番地2、2番地3,,35.744797,139.335173,鉄骨鉄筋コンクリート造,5327.13,19950929,,7,,20191108
209000381,209000381,建物,総務局,,職員武蔵野住宅,行政財産,東京都,武蔵野市,境,５丁目,1366番地6,,35.702277,139.53651,鉄筋コンクリート造,485.52,19941231,,3,,20191108
209000382,209000382,建物,総務局,,職員武蔵野住宅,行政財産,東京都,武蔵野市,境,５丁目,1366番地6,,35.702215,139.536326,鉄筋コンクリート造,208.08,19941231,,3,,20191108
209000383,209000383,建物,総務局,,職員武蔵野住宅,行政財産,東京都,武蔵野市,境,５丁目,1366番地6,,35.702404,139.536438,鉄筋コンクリート造,147.76,19941231,,2,,20191108
