地区,16登録頭数,16予防注射頭数,17登録頭数,17予防注射頭数,18登録頭数,18予防注射頭数,19登録頭数,19予防注射頭数,20登録頭数,20予防注射頭数,21登録頭数,21予防注射頭数,22登録頭数,22予防注射頭数,23登録頭数,23予防注射頭数,24登録頭数,24予防注射頭数,25登録頭数,25予防注射頭数,26登録頭数,26予防注射頭数,27登録頭数,27予防注射頭数,28登録頭数,28予防注射頭数,29登録頭数,29予防注射頭数,30登録頭数,30予防注射頭数,R1登録頭数,R1予防注射頭数,R2登録頭数,R2予防注射頭数,R3登録頭数,R3予防注射頭数,R4登録頭数,R4予防注射頭数
千代田区,877,592,985,647,1085,721,1181,767,1261,769,1355,866,1436,900,1520,934,1573,907,1393,944,1397,999,1498,1147,1462,1201,1513,1163,1576,1195,1660,1194,1682,1257,1795,1303,2980,1326
中央区,1549,1210,1730,1418,2141,1723,2534,1986,2760,2259,3186,2557,3520,2660,3889,2858,4232,3006,4213,3149,4591,3376,4774,3494,5134,3853,5542,4092,5810,4185,6173,4239,6308,4401,6628,4831,7255,4680
港区,5663,3533,6229,3816,7247,4622,7029,5033,7935,5205,8240,5437,8541,5439,8763,5584,9012,5796,9421,6132,9761,6129,10212,6281,10184,6506,10684,6594,11076,7261,10666,7175,11494,6722,12288,8307,15319,8196
新宿区,6438,4999,6981,5285,7471,5543,8141,5828,8646,5971,9166,6120,9733,6361,9850,6371,10226,6399,9942,6401,9650,6418,10066,6590,10123,6677,9836,6522,9768,6646,9868,6689,10044,6570,10571,6834,11274,6735
文京区,4962,3884,5317,4048,5714,4250,6092,4525,5926,4559,6110,4554,6212,4558,6282,4619,6406,4580,6493,4571,6294,4550,6134,4529,6084,4530,5876,4354,5984,4321,5993,4352,6210,4475,6324,4686,6568,4658
台東区,4630,3702,4915,3769,5152,4041,5546,4317,5961,4547,6174,4667,6351,4721,6455,4799,6594,4920,6885,4961,6896,4903,6811,4966,6890,4879,6906,4886,6834,4932,6798,4957,6913,5024,7099,5072,7223,5116
墨田区,5621,4630,5849,4809,6277,5119,6807,5459,7146,5709,7423,5927,7637,5797,7715,5963,7582,5988,7635,5882,7770,6000,7750,5954,7643,5860,7493,5746,7444,5688,7504,5580,7562,5183,7678,5571,8129,5576
江東区,9942,7067,11284,7755,12417,8589,13320,9650,14503,10425,15889,11418,16923,12108,17883,12900,18702,13458,19357,13771,20269,13954,20761,14405,22173,16908,22977,17134,23643,17284,23812,16676,23148,13666,23934,14922,22542,15792
品川区,7771,5999,8329,6220,8811,6495,9559,7269,10005,6264,10824,7655,11252,7994,11326,8125,11675,8254,11883,8215,12026,8388,11440,8491,11755,8724,12087,8757,12343,8773,12720,8866,12912,9182,13292,9398,13621,9598
目黒区,7478,5395,7915,5765,8444,5823,8927,6482,9347,6688,9675,6858,9931,7228,10209,7268,10411,7670,10641,7754,10837,7767,10929,8001,11125,8049,11111,8120,11178,8069,11316,8025,11597,8256,11965,8641,12275,8743
大田区,20605,16074,21670,16586,23027,17274,24370,18486,25289,19421,25325,20294,25258,20273,25677,20806,26105,20842,26228,20720,26472,20505,26201,20559,25834,20206,25231,19954,24785,19435,25202,19095,24989,19349,25089,19737,29176,19393
世田谷区,27160,20762,29240,21603,30519,22581,30801,23073,31391,25734,32859,26927,34186,27433,34944,27791,35550,27684,35984,28245,36150,28095,36648,28693,37075,28463,37213,28487,37512,28488,38190,28394,39180,28775,40869,30335,42475,30560
渋谷区,6118,4227,6688,4524,6360,4840,7040,5252,7382,5270,7785,5344,8169,5582,8470,5731,8706,5966,8450,6076,8698,6146,8822,6234,9097,6322,9246,6452,9274,6577,9645,6789,10127,6603,10755,6845,11370,6780
中野区,7262,5328,7603,5394,8095,5649,8612,6026,8983,6245,8517,6288,9018,6242,9102,6370,9475,6375,9809,6436,9759,6377,9932,6318,9741,6360,9170,6526,9258,6703,9224,6601,9184,6635,9263,6885,9646,6970
杉並区,16887,12046,17202,12364,17932,13111,18682,13710,19355,14030,19978,14291,20325,14272,20742,14271,20988,14250,21217,14227,21283,14131,21321,14092,21266,13726,21268,13712,20920,13564,20770,13593,17586,14086,17887,13730,18612,13562
豊島区,5790,4443,5873,4588,6173,4860,6654,5295,6783,5458,7127,5677,7488,5845,7760,6070,7766,6103,7763,6129,7886,6189,7839,6187,7786,6169,7748,6081,7687,6032,7609,5935,7775,5823,7607,5902,8164,6049
北区,7213,5121,7503,5081,7713,5270,8114,5620,8244,5802,8351,5926,8179,5858,8181,5888,8230,5912,8324,5954,8322,5884,8346,5805,8327,5728,8365,5620,8342,5559,8285,5435,8520,5066,8769,5123,9218,5023
荒川区,5072,3402,5448,3895,5932,3633,6101,3856,6615,3951,6283,4574,6489,4737,6478,4841,6581,4849,6686,4857,6703,4776,6877,5032,6847,5072,6888,4912,6963,4866,6854,4625,6866,4522,7013,4927,7104,4706
板橋区,12982,9784,13522,9635,14509,10024,15603,10904,16348,10999,17480,11610,18140,12937,18625,11683,18521,11760,17374,12499,17392,12937,17806,12983,17998,12989,18390,12636,18545,12664,17412,12787,17584,12728,17931,12721,18450,12426
練馬区,22003,16200,23077,16704,24047,17321,25222,18419,26211,18830,27272,19273,28122,19392,28731,19882,29702,19752,30659,19764,29685,19761,29907,19456,30033,18917,28094,19144,25280,19419,25120,18928,25092,18459,25507,19179,25977,19068
足立区,20363,14174,20047,14510,20878,15374,22515,16870,23500,17321,24611,18123,25365,18133,25522,18669,25830,18490,25693,18278,26139,18220,26480,18029,25861,18571,25850,18495,25788,18102,25998,17765,25414,18459,25374,18275,28813,18431
葛飾区,11577,8222,12223,8509,13106,8882,14014,9656,14412,9876,14829,10258,15343,10010,15152,10086,14452,9721,14535,10328,14749,10066,14545,10516,14300,10552,14343,10929,14065,10715,14045,10332,14000,9822,14375,10449,17019,10252
江戸川区,16236,12470,16080,12706,17025,13187,17822,14009,18364,14256,18601,14849,19237,15049,19414,15156,19293,15119,19392,14958,19896,15387,19818,15405,19953,15301,20189,15595,20264,15245,20370,15226,20426,15893,20449,16003,21477,16264
八王子市,23388,20506,24414,21193,24937,21938,26009,22878,27036,23557,28066,24016,28666,23969,29064,23900,29328,23870,29724,23109,29626,23128,29660,22832,29476,22575,29344,22045,28861,21944,28749,21366,28099,20511,27324,20443,27849,20434
立川市,5915,4528,6276,4560,6621,4709,6978,5002,7251,4983,7548,5171,7814,5245,7791,5333,7709,5578,7729,5740,7107,5437,7161,5399,7261,5611,7238,5609,7245,5567,7147,5392,7254,5830,7397,5716,7442,5619
武蔵野市,4321,3060,4529,3111,4813,3177,4993,3374,4827,3508,4791,3459,4771,3522,4846,3566,4914,3562,4939,3640,4859,3584,4865,3614,4870,3618,4851,3373,4859,3448,4850,3358,4970,3483,5114,3610,5281,3866
三鷹市,5410,4440,5657,4685,6010,4800,6045,5248,6362,5371,6525,5504,6456,5599,6645,5574,6659,5549,6679,5449,6662,5453,6595,5398,6544,5371,6383,5368,6449,5295,6389,5320,6626,5145,6537,5416,6613,5471
青梅市,6644,5174,6813,5349,6879,5414,7115,5647,7086,5678,7246,5701,7245,5554,7338,5642,7496,5568,7627,5613,7735,5480,7591,5569,7451,5491,7415,5306,7341,5133,7229,5030,6859,5037,6822,5094,6777,5055
府中市,7272,5477,7388,5688,7758,5846,7931,6564,8349,6826,8643,6952,8969,6997,9339,7236,9474,7402,9661,7585,9759,7340,9789,6503,9537,6513,9648,7249,9403,7219,9265,7177,9374,7124,9497,7365,9954,7506
昭島市,4238,3006,4469,3013,4679,3210,4865,3244,4904,3324,5045,3432,5130,3340,4935,3261,4977,3491,5104,3560,5013,3572,5190,3426,5308,3390,5354,3287,5379,3639,5489,3609,5485,3544,5582,3528,5924,3656
調布市,6960,4801,7458,5143,7990,5395,8282,5533,8314,5585,8562,5865,8826,5780,8780,6303,8670,6629,8601,6577,8546,6530,8430,6506,8314,6574,8350,6486,8218,6459,8199,6489,8293,6285,8544,6352,8724,6634
町田市,21569,16978,22890,17885,24117,18613,24965,19657,26296,20312,26846,20797,27134,21034,25776,21216,25924,21040,26145,20937,25963,20803,25623,20655,25420,20383,25065,20228,24757,19814,24611,19496,24815,18497,25061,19034,24855,19039
小金井市,3744,2809,3628,2915,3848,3001,3969,3213,4113,3294,4164,3256,4365,3401,4503,3463,4476,3361,4400,3392,4406,3231,4431,3326,4418,3282,4388,3275,4413,3228,4364,3239,4465,3171,4459,3372,4503,3333
小平市,6408,5013,6764,5212,7113,5453,7431,5633,7701,5741,7854,5866,7969,5873,8164,6014,8354,6040,8437,6054,8381,5942,8401,6022,8238,5903,8184,5843,8000,5806,8008,5606,8019,5650,8070,5814,8227,5812
日野市,6500,5563,6712,5621,7167,5795,7539,6048,7803,5898,7947,6170,8064,6022,8266,6251,8343,6186,8409,6196,8517,6307,8504,6136,8453,6188,8477,6192,8339,5767,8157,5972,8131,5759,8260,5961,8491,6063
東村山市,5043,4354,5280,4459,5644,4638,5867,4830,6118,4936,6480,5007,6708,5062,6739,5073,6929,5279,6928,5335,7013,5218,7102,5244,7091,5272,7039,4931,7008,4984,6643,4767,6794,4680,6829,4852,7033,4735
国分寺市,3819,3066,3973,3210,4138,3322,4308,3527,4438,3666,4567,3677,4670,3678,4766,3706,4925,3825,5016,3894,5044,3824,5033,3845,4987,3581,4990,3533,4978,3569,4931,3465,5015,3445,5154,3595,5493,3654
国立市,2527,1925,2640,1904,2756,1976,2886,2066,3011,2157,3114,2210,3261,2288,3326,2344,3467,2368,3464,2378,3452,2196,3416,2294,3147,2073,3076,2175,3083,2132,3067,2110,3043,2036,3055,2141,3033,2121
福生市,2268,1704,2412,1746,2527,1776,2667,1869,2768,1870,2839,1932,2859,1875,2863,1882,2865,1925,2846,1843,2749,1861,2525,1803,2462,1754,2319,1644,2271,1589,2245,1490,2196,1388,2197,1304,2238,1435
狛江市,2567,2065,2665,2104,2833,2186,2935,2300,2997,2368,3091,2419,3016,2308,3007,2417,3001,2412,3017,2308,3032,2358,2950,2306,2997,2113,3058,2104,2983,2191,2975,2183,3014,2167,3052,2354,3093,2238
東大和市,3491,2485,3654,2520,3856,2521,3930,2702,4159,2706,4321,2766,3838,2753,3809,2869,3866,2850,3871,2926,3906,2896,3764,2974,3840,2993,3778,2979,3659,2936,3617,2805,3616,2870,3600,2987,3644,2964
清瀬市,2344,1834,2396,1951,2559,2029,2651,2142,2692,2122,2765,2195,2846,2150,2690,2234,2763,2310,2837,2344,2830,2272,2803,2242,2796,2225,2794,2199,2790,2218,2845,2229,2900,2007,2954,2252,2946,2250
東久留米市,4002,3090,4120,3216,4295,3417,4558,3561,4769,3658,4983,3825,5095,3915,5146,3972,5177,3941,5230,3972,5270,3994,5198,3912,5179,3836,4945,3725,4890,3709,4921,3647,4931,3604,5000,3630,5246,3818
