"地域","港区消火用水槽 40m3以上 設置基数[基]","港区消火用水槽 40m3以上 貯水量[m3]","港区消火用水槽 10m3以下 設置基数[基]","港区消火用水槽 10m3以下 貯水量[m3]","港区受水槽(飲料・消火用) 設置基数[基]","港区受水槽(飲料・消火用) 貯水量[m3]","受水槽(震災時民間協力ビル) 設置基数[基]","受水槽(震災時民間協力ビル) 貯水量[m3]","港区大規模井戸 設置基数[基]","港区大規模井戸 貯水量[m3/日]","民間非常用井戸 設置基数[基]","民間非常用井戸 貯水量[m3/日]"
"芝","5","260","8","45","20","622.5","118","5043.9","0","0","8","1016"
"麻布","5","200","8","45","11","178.7","25","1355.8","1","650","4","332"
"赤坂","3","120","4","20","11","245.2","52","2047.4","1","303","3","328"
"高輪","7","280","7","35","15","349.8","13","664.0","0","0","0","0"
"芝浦港南","1","40","1","5","10","288.7","37","2127.7","0","0","0","0"
"合計","21","900","28","150","67","1684.9","245","11238.8","2","953","15","1676"

"令和元年度港区行政資料集　消火用水槽等設置状況","Ver201904",,,,,,,,,,,
