"年度","認可工場数 環境確保条例[件]","指定作業場数 環境確保条例[件]","特定工場等数 騒音規制法[件]","特定建設作業数 騒音規制法[件]","特定工場等数 振動規制法[件]","特定建設作業数 振動規制法[件]","アスベスト工事届 環境確保条例[件]"
"2015","756","1655","1366","575","239","351","118"
"2016","740","1665","1375","605","234","380","140"
"2017","728","1639","1379","588","227","386","152"
"2018","724","1649","1390","604","224","397","202"
"2019","707","1647","1401","673","222","469","213"

"令和2年度港区行政資料集　法令による認可工場等","Ver202003",,,,,,
