"全国地方公共団体コード","ID","地方公共団体名","子育て施設ID","子育て施設名称","年齢","年齢区分","最低入居指数"
"132241","132241KSSN000058","多摩市","132241KSLT000009","やまと保育園","1","1歳","34"
"132241","132241KSSN000009","多摩市","132241KSLT000009","やまと保育園","2","2歳","非公開"
"132241","132241KSSN000101","多摩市","132241KSLT000009","やまと保育園","3","3歳",""
"132241","132241KSSN000122","多摩市","132241KSLT000009","やまと保育園","4","4歳",""
"132241","132241KSSN000037","多摩市","132241KSLT000009","やまと保育園","5","5歳",""
"132241","132241KSSN000083","多摩市","132241KSLT000010","ピオニイ第二保育園","0","0歳","26"
"132241","132241KSSN000059","多摩市","132241KSLT000010","ピオニイ第二保育園","1","1歳","40"
"132241","132241KSSN000010","多摩市","132241KSLT000010","ピオニイ第二保育園","2","2歳","36"
"132241","132241KSSN000102","多摩市","132241KSLT000010","ピオニイ第二保育園","3","3歳",""
"132241","132241KSSN000123","多摩市","132241KSLT000010","ピオニイ第二保育園","4","4歳","非公開"
"132241","132241KSSN000038","多摩市","132241KSLT000010","ピオニイ第二保育園","5","5歳",""
"132241","132241KSSN000084","多摩市","132241KSLT000011","かおり保育園","0","0歳","非公開"
"132241","132241KSSN000060","多摩市","132241KSLT000011","かおり保育園","1","1歳","36"
"132241","132241KSSN000011","多摩市","132241KSLT000011","かおり保育園","2","2歳","38"
"132241","132241KSSN000103","多摩市","132241KSLT000011","かおり保育園","3","3歳","非公開"
"132241","132241KSSN000124","多摩市","132241KSLT000011","かおり保育園","4","4歳",""
"132241","132241KSSN000039","多摩市","132241KSLT000011","かおり保育園","5","5歳",""
"132241","132241KSSN000085","多摩市","132241KSLT000012","かしのき保育園","0","0歳","38"
"132241","132241KSSN000061","多摩市","132241KSLT000012","かしのき保育園","1","1歳","40"
"132241","132241KSSN000012","多摩市","132241KSLT000012","かしのき保育園","2","2歳","40"
"132241","132241KSSN000104","多摩市","132241KSLT000012","かしのき保育園","3","3歳","26"
"132241","132241KSSN000125","多摩市","132241KSLT000012","かしのき保育園","4","4歳",""
"132241","132241KSSN000040","多摩市","132241KSLT000012","かしのき保育園","5","5歳",""
"132241","132241KSSN000086","多摩市","132241KSLT000013","こころ保育園","0","0歳","37"
"132241","132241KSSN000062","多摩市","132241KSLT000013","こころ保育園","1","1歳",""
"132241","132241KSSN000013","多摩市","132241KSLT000013","こころ保育園","2","2歳","非公開"
"132241","132241KSSN000105","多摩市","132241KSLT000013","こころ保育園","3","3歳",""
"132241","132241KSSN000126","多摩市","132241KSLT000013","こころ保育園","4","4歳",""
"132241","132241KSSN000041","多摩市","132241KSLT000013","こころ保育園","5","5歳",""
"132241","132241KSSN000087","多摩市","132241KSLT000014","バオバブちいさな家保育園","0","0歳","40"
"132241","132241KSSN000063","多摩市","132241KSLT000014","バオバブちいさな家保育園","1","1歳","41"
"132241","132241KSSN000014","多摩市","132241KSLT000014","バオバブちいさな家保育園","2","2歳","41"
"132241","132241KSSN000106","多摩市","132241KSLT000014","バオバブちいさな家保育園","3","3歳","非公開"
"132241","132241KSSN000127","多摩市","132241KSLT000014","バオバブちいさな家保育園","4","4歳",""
"132241","132241KSSN000042","多摩市","132241KSLT000014","バオバブちいさな家保育園","5","5歳",""
"132241","132241KSSN000088","多摩市","132241KSLT000015","りすのき保育園","0","0歳","38"
"132241","132241KSSN000064","多摩市","132241KSLT000015","りすのき保育園","1","1歳","40"
"132241","132241KSSN000015","多摩市","132241KSLT000015","りすのき保育園","2","2歳","非公開"
"132241","132241KSSN000107","多摩市","132241KSLT000015","りすのき保育園","3","3歳","非公開"
"132241","132241KSSN000128","多摩市","132241KSLT000015","りすのき保育園","4","4歳",""
"132241","132241KSSN000043","多摩市","132241KSLT000015","りすのき保育園","5","5歳",""
"132241","132241KSSN000089","多摩市","132241KSLT000016","あおぞら保育園","0","0歳","40"
"132241","132241KSSN000065","多摩市","132241KSLT000016","あおぞら保育園","1","1歳","41"
"132241","132241KSSN000016","多摩市","132241KSLT000016","あおぞら保育園","2","2歳","41"
"132241","132241KSSN000108","多摩市","132241KSLT000016","あおぞら保育園","3","3歳",""
"132241","132241KSSN000129","多摩市","132241KSLT000016","あおぞら保育園","4","4歳",""
"132241","132241KSSN000044","多摩市","132241KSLT000016","あおぞら保育園","5","5歳",""
"132241","132241KSSN000066","多摩市","132241KSLT000017","丘の上アンジュ保育園","1","1歳","24"
"132241","132241KSSN000017","多摩市","132241KSLT000017","丘の上アンジュ保育園","2","2歳","40"
"132241","132241KSSN000090","多摩市","132241KSLT000018","のびのびっこ保育園","0","0歳","25"
"132241","132241KSSN000067","多摩市","132241KSLT000018","のびのびっこ保育園","1","1歳","40"
"132241","132241KSSN000018","多摩市","132241KSLT000018","のびのびっこ保育園","2","2歳","非公開"
"132241","132241KSSN000109","多摩市","132241KSLT000018","のびのびっこ保育園","3","3歳","非公開"
"132241","132241KSSN000130","多摩市","132241KSLT000018","のびのびっこ保育園","4","4歳",""
"132241","132241KSSN000045","多摩市","132241KSLT000018","のびのびっこ保育園","5","5歳",""
"132241","132241KSSN000091","多摩市","132241KSLT000019","おだ認定こども園","0","0歳","37"
"132241","132241KSSN000068","多摩市","132241KSLT000019","おだ認定こども園","1","1歳","32"
"132241","132241KSSN000019","多摩市","132241KSLT000019","おだ認定こども園","2","2歳","非公開"
"132241","132241KSSN000092","多摩市","132241KSLT000020","あすのき保育園","0","0歳","11"
"132241","132241KSSN000069","多摩市","132241KSLT000020","あすのき保育園","1","1歳","非公開"
"132241","132241KSSN000020","多摩市","132241KSLT000020","あすのき保育園","2","2歳","40"
"132241","132241KSSN000093","多摩市","132241KSLT000021","あおぞらぱれっと保育園","0","0歳","40"
"132241","132241KSSN000070","多摩市","132241KSLT000021","あおぞらぱれっと保育園","1","1歳","40"
"132241","132241KSSN000021","多摩市","132241KSLT000021","あおぞらぱれっと保育園","2","2歳","41"
"132241","132241KSSN000110","多摩市","132241KSLT000021","あおぞらぱれっと保育園","3","3歳","25"
"132241","132241KSSN000131","多摩市","132241KSLT000021","あおぞらぱれっと保育園","4","4歳",""
"132241","132241KSSN000046","多摩市","132241KSLT000021","あおぞらぱれっと保育園","5","5歳",""
"132241","132241KSSN000094","多摩市","132241KSLT000022","やまとさくら保育園","0","0歳","40"
"132241","132241KSSN000071","多摩市","132241KSLT000022","やまとさくら保育園","1","1歳","40"
"132241","132241KSSN000022","多摩市","132241KSLT000022","やまとさくら保育園","2","2歳",""
"132241","132241KSSN000111","多摩市","132241KSLT000022","やまとさくら保育園","3","3歳",""
"132241","132241KSSN000132","多摩市","132241KSLT000022","やまとさくら保育園","4","4歳",""
"132241","132241KSSN000047","多摩市","132241KSLT000022","やまとさくら保育園","5","5歳",""
