世帯数,,382739,[世帯]
総人口,男,359168,[人]
総人口,女,381604,[人]
総人口,計,740772,[人]
日本人の人口,男,350055,[人]
日本人の人口,女,371354,[人]
日本人の人口,計,721409,[人]
外国人の人口,男,9113,[人]
外国人の人口,女,10250,[人]
外国人の人口,計,19363,[人]
