世帯数,,387313,[世帯]
総人口,男,357914,[人]
総人口,女,381843,[人]
総人口,計,739757,[人]
日本人の人口,男,347908,[人]
日本人の人口,女,370686,[人]
日本人の人口,計,718594,[人]
外国人の人口,男,10006,[人]
外国人の人口,女,11157,[人]
外国人の人口,計,21163,[人]
