世帯数,,382625,[世帯]
総人口,男,358810,[人]
総人口,女,381185,[人]
総人口,計,739995,[人]
日本人の人口,男,349782,[人]
日本人の人口,女,371048,[人]
日本人の人口,計,720830,[人]
外国人の人口,男,9028,[人]
外国人の人口,女,10137,[人]
外国人の人口,計,19165,[人]
