世帯数,,382249,[世帯]
総人口,男,358208,[人]
総人口,女,380907,[人]
総人口,計,739115,[人]
日本人の人口,男,349294,[人]
日本人の人口,女,370822,[人]
日本人の人口,計,720116,[人]
外国人の人口,男,8914,[人]
外国人の人口,女,10085,[人]
外国人の人口,計,18999,[人]
