世帯数,,382104,[世帯]
総人口,男,357983,[人]
総人口,女,380834,[人]
総人口,計,738817,[人]
日本人の人口,男,349107,[人]
日本人の人口,女,370745,[人]
日本人の人口,計,719852,[人]
外国人の人口,男,8876,[人]
外国人の人口,女,10089,[人]
外国人の人口,計,18965,[人]
