世帯数,,389688,[世帯]
総人口,男,358655,[人]
総人口,女,382720,[人]
総人口,計,741375,[人]
日本人の人口,男,347518,[人]
日本人の人口,女,370470,[人]
日本人の人口,計,717988,[人]
外国人の人口,男,11137,[人]
外国人の人口,女,12250,[人]
外国人の人口,計,23387,[人]
