世帯数,,384628,[世帯]
総人口,男,357890,[人]
総人口,女,381322,[人]
総人口,計,739212,[人]
日本人の人口,男,348730,[人]
日本人の人口,女,371002,[人]
日本人の人口,計,719732,[人]
外国人の人口,男,9160,[人]
外国人の人口,女,10320,[人]
外国人の人口,計,19480,[人]
