世帯数,,377837,[世帯]
総人口,男,358946,[人]
総人口,女,380489,[人]
総人口,計,739435,[人]
日本人の人口,男,349021,[人]
日本人の人口,女,368924,[人]
日本人の人口,計,717945,[人]
外国人の人口,男,9925,[人]
外国人の人口,女,11565,[人]
外国人の人口,計,21490,[人]
