世帯数,,382008,[世帯]
総人口,男,358936,[人]
総人口,女,381481,[人]
総人口,計,740417,[人]
日本人の人口,男,349682,[人]
日本人の人口,女,371094,[人]
日本人の人口,計,720776,[人]
外国人の人口,男,9254,[人]
外国人の人口,女,10387,[人]
外国人の人口,計,19641,[人]
