世帯数,,382747,[世帯]
総人口,男,358995,[人]
総人口,女,381440,[人]
総人口,計,740435,[人]
日本人の人口,男,349914,[人]
日本人の人口,女,371270,[人]
日本人の人口,計,721184,[人]
外国人の人口,男,9081,[人]
外国人の人口,女,10170,[人]
外国人の人口,計,19251,[人]
