世帯数,,385044,[世帯]
総人口,男,357567,[人]
総人口,女,381151,[人]
総人口,計,738718,[人]
日本人の人口,男,347741,[人]
日本人の人口,女,370020,[人]
日本人の人口,計,717761,[人]
外国人の人口,男,9826,[人]
外国人の人口,女,11131,[人]
外国人の人口,計,20957,[人]
