世帯数,,385070,[世帯]
総人口,男,357907,[人]
総人口,女,381464,[人]
総人口,計,739371,[人]
日本人の人口,男,348449,[人]
日本人の人口,女,370843,[人]
日本人の人口,計,719292,[人]
外国人の人口,男,9458,[人]
外国人の人口,女,10621,[人]
外国人の人口,計,20079,[人]
