"年度[西暦]","みなとパートナーズ基金[千円]","文化芸術振興基金[千円]","中小企業融資基金[千円]","中小企業融資利子補給基金[千円]","震災復興、区民生活・産業安定の基金[千円]","高齢者安心定住基金[千円]","高齢者福祉施設等整備基金[千円]","介護保険給付準備基金[千円]","定住促進基金[千円]","地球温暖化等対策基金[千円]","子育て王国基金[千円]","財政調整基金[千円]","公共施設等整備基金[千円]","安全安心施設対策基金[千円]","奨学基金[千円]","教育施設整備基金[千円]","障害者福祉推進基金[千円]","公共用地買収基金[千円]","高額療養費資金、出産費資金貸付基金[千円]","合計[千円]"
"2017","96008","1101905","2500000","1530338","54016324","452054","2003792","516841","8268167","540322","4458074","44529509","10600440","2814241","23448","14620561","922383","4000000","23483","153017889"
"2018","94456","977793","2500000","1530499","66048112","441529","1934152","773590","7691552","291336","3872523","47753439","7890423","2504252","23448","15279956","791189","4000000","0","164398250"
"2019","93509","859104","2500000","1530657","76085158","426289","1907925","1059536","7826934","210314","3706589","52291379","5226679","3736719","23448","13812944","694374","4000000",,"175991560"
"2020","103613","776736","2500000","1530797","79781105","412950","1842021","1244565","8094430","113406","4832885","54578648","11450101","3566897","41063","16995303","900934","4000000",,"192765453"
"2021","117859","698409","2500000","1530950","81623173","405388","1842965","1872974","7733554","113474","3922428","51390052","17438650","3457295","66507","13409780","799361","4000000",,"192922819"

"令和4年度港区行政資料集　基金","Ver202203",,,,,,,,,,,,,,,,,,,
