"年[西暦]","自然増 出生[人]","自然増 合計特殊出生率[%]","自然増 死亡[人]","自然増 差引[人](Ａ)","社会増 他道府県移動 転入[人]","社会増 他道府県移動 転出[人]","社会増 他道府県移動 差引[人]","社会増 都内間移動 転入[人]","社会増 都内間移動 転出[人]","社会増 都内間移動 差引[人]","社会増 移動計[人](Ｂ)","その他の増[人](Ｃ)","合計[人](A+B+C)","婚姻[件]","離婚[件]"
"2018","2857","1.39","1588","1269","9649","7428","2221","12469","13650","-1181","1040","1337","3646","2187","595"
"2019","2744","1.35","1555","1189","9748","7336","2412","12425","13986","-1561","851","873","2913","2178","559"
"2020","2655","1.34","1596","1059","8848","8598","250","11975","14411","-2436","-2186","-325","-1452","1956","510"
"2021","2461","1.27","1674","787","8898","8616","282","13248","14448","-1200","-918","-1798","-1929","1704","491"
"2022","2332","1.21","1792","540","9539","8042","1497","13635","14295","-660","837","2999","4376","1861","503"

"令和5年度港区行政資料集　人口動態","Ver202303",,,,,,,,,,,,,,
