名称,所在地,緯度,経度,電話
子ども家庭支援センター,豊玉北5-28-3,35.73495256,139.6533309,03-3993-8155
子ども家庭支援センター（石神井）,石神井町3-30-26　石神井庁舎4階,35.74340496,139.602759,03-3995-1108
地域子ども家庭支援センター練馬,練馬1-17-1ココネリ4階,35.73808106,139.6533067,03-6758-0141
地域子ども家庭支援センター練馬分室,豊玉北5-18-12,35.73708295,139.6544328,03-3993-4100
地域子ども家庭支援センター光が丘,光が丘2-9-6　光が丘区民センター6階,35.75923273,139.6293026,03-5997-7759
地域子ども家庭支援センター光が丘分室,光が丘5-2-5-105,35.75990107,139.6269696,03-3979-8101
地域子ども家庭支援センター貫井,貫井3-25-15,35.73734394,139.627298,03-3577-9820
地域子ども家庭支援センター大泉,東大泉5-35-1,35.7475786,139.589807,03-3925-6713
地域子ども家庭支援センター関,関町北1-21-15,35.72671867,139.5786574,03-5927-5911
