"科目","合計[百万円]","固定資産等形成分[百万円]","余剰分（不足分）[百万円]"
"年度","2020",,
"期間（自）","20200401",,
"期間（至）","20210331",,
"前年度末純資産残高","3544585","3549283","-4698"
"本年度純資産変動額 本年度差額 純行政コスト","-186832",,"-186832"
"本年度純資産変動額 本年度差額 財源","197236",,"197236"
"本年度純資産変動額 本年度差額 財源 税収等","123441",,"123441"
"本年度純資産変動額 本年度差額 財源 国都等補助金","73796",,"73796"
"本年度純資産変動額 本年度差額","10405",,"10405"
"本年度純資産変動額 固定資産等の変動（内部変動）",,"4723","-4723"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の増加",,"14521","-14521"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の減少",,"-16545","16545"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の増加",,"17760","-17760"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の減少",,"-11013","11013"
"本年度純資産変動額 資産評価差額","-","-",
"本年度純資産変動額 無償所管換等","17820","17820",
"本年度純資産変動額 その他","-","-","-"
"本年度純資産変動額","28224","22542","5682"
"本年度末純資産残高","3572809","3571825","984"

"全体会計財務書類（純資産変動計算書）(令和2年4月1日から令和3年3月31日)","Ver202103",,
