"年度","資源受入量 びん・缶  [kg]","資源受入量 ペットボトル  [kg]","資源受入量 資源プラスチック  [kg]","資源引渡量 プラ資源 プラ製容器包装 [kg]","資源引渡量 プラ資源 製品プラスチック [kg]","資源引渡量 プラスチック資源 計 [kg]","資源引渡量 ペットボトル  [kg]","資源引渡量 びん リターナブル [kg]","資源引渡量 びん ワンウェイ 無色[kg]","資源引渡量 びん ワンウェイ 茶色[kg]","資源引渡量 びん ワンウェイ その他[kg]","資源引渡量 びん 計 [kg]","資源引渡量 缶 アルミ缶 [kg]","資源引渡量 缶 スチール缶 [kg]","資源引渡量 缶 計 [kg]","資源引渡量 古紙 新聞 [kg]","資源引渡量 古紙 雑誌 [kg]","資源引渡量 古紙 段ボール [kg]","資源引渡量 古紙 紙パック [kg]","資源引渡量 古紙 計 [kg]"
"2014","4246078","1159890","2608200","1609010","569250","2178260","1099350","101440","1137760","582060","1714570","3535830","363920","337290","701210","682684","3818596","3076820","1970","7580070"
"2015","4392250","1071240","2663960","1670460","518700","2189160","1004820","82080","1154370","605450","1714860","3556760","312935","329240","642175","875030","3783770","2840450","1910","7501160"
"2016","4371945","1080440","2568930","1589860","516440","2106300","1045940","81340","1161480","607310","1738220","3588350","340023","309680","649703","665540","3634150","2873060","1680","7174430"
"2017","4286449","1155570","2527080","1598380","534260","2132640","1023980","77800","1186160","590100","1694310","3548370","340274","314800","655074","1045140","3627890","2408870","1160","7083060"
"2018","4219494","1217170","2611400","1423440","629280","2052720","1140330","69300","1153740","590390","1673660","3487090","341712","283630","625342","755890","3236830","2881650",,"6874370"

"令和元年度港区行政資料集　資源化施設取扱量","Ver201903",,,,,,,,,,,,,,,,,,,
