事業箇所,事業区間,区間延長,事業認可、区域決定,用地取得率
主要地方道第8号　千代田練馬田無線（富士街道）（高野台）,練馬区高野台四丁目～同区高野台五丁目,550m,平成12年7月5日区域決定,92%
国道411号（吉野街道）（駒木Ⅱ期）,青梅市駒木町一丁目～同市駒木町三丁目,690m,平成25年8月8日事業認可,73%
主要地方道第7号　杉並あきる野線（熊川2期）,福生市熊川地内,"1,090m",平成31年3月20日事業認可,8%
主要地方道第31号　青梅あきる野線（秋川街道）（長淵Ⅰ期）,青梅市長淵五丁目地内,610m,平成19年2月28日区域決定,86%
一般都道第165号　伊奈福生線（草花）,あきる野市草花地内,450m,平成23年3月3日区域決定,74%
主要地方道第45号　奥多摩青梅線（吉野街道）（和田畑中Ⅱ期）,青梅市畑中二丁目～同市畑中三丁目,560m,平成25年8月8日事業認可,64%
主要地方道第45号　奥多摩青梅線（吉野街道）（和田畑中Ⅲ期）,青梅市畑中三丁目～同市和田町二丁目,820m,令和2年12月14日事業認可,3%
一般都道第166号　瑞穂あきる野八王子線（箱根ヶ崎駅前Ⅱ期）,瑞穂町箱根ヶ崎地内,150m,平成25年7月26日区域決定,50%
一般都道第250号　あきる野羽村線（高瀬）,あきる野市草花地内,760m,平成10年8月26日区域決定,98%
主要地方道第33号　上野原あきる野線（檜原街道）（荷田子）,あきる野市乙津地内,420m,平成26年12月16日区域決定,64%
主要地方道第33号　上野原あきる野線（檜原街道）（下元郷）,檜原村本宿～あきる野市乙津地内,1300m,令和3年3月8日区域決定,1%
一般都道第251号　青梅日の出線（水口）,日の出町大久野地内,"1,020m",平成22年1月22日区域決定,55%
主要地方道第18号　府中町田線（鎌倉街道）（薬師池Ⅰ期）,町田市金井一丁目～同市本町田,740m,平成25年3月18日区域決定,47%
主要地方道第18号　府中町田線（鎌倉街道）（薬師池Ⅱ期）,町田市野津田町～同市金井一丁目,"1,040m",平成28年2月17日事業認可,30%
主要地方道第18号　府中町田線（鎌倉街道）（綾部）,町田市野津田町地内,420m,平成30年10月10日事業認可,3%
主要地方道第47号 八王子町田線（町田街道）（常盤町）,町田市常盤町地内,760m,令和2年3月10日事業認可,15%
主要地方道第57号　相模原大蔵町線（芝溝街道）（並木）,町田市野津田町地内,660m,平成18年3月20日区域決定,99%
主要地方道第57号　相模原大蔵町線（芝溝街道）（野津田Ⅰ期）,町田市野津田町地内,470m,平成27年12月24日事業認可,17%
主要地方道第57号　相模原大蔵町線（芝溝街道）（野津田Ⅱ期）,町田市野津田町地内,600m,平成28年12月27日事業認可,22%
一般都道第141号　辻原町田線（南町田）,町田市南町田二丁目～同市南町田四丁目,790m,平成26年2月3日事業認可,69%
主要地方道第18号 府中町田線（南多摩尾根幹線2工区）,多摩市南野地内,"2,500m",令和2年2月20日事業認可,0%
主要地方道第19号 町田調布線（南多摩尾根幹線3工区）,多摩市聖ヶ丘地内～稲城市東長峰地内,"2,400m",令和3年7月30日事業認可,0%
一般都道503号　相模原立川線（小山町）,町田市小山町地内,210m,令和3年3月5日事業認可,12%
主要地方道第19号　町田調布線（鶴川街道）（真光寺）,町田市真光寺町～同市真光寺一丁目,940m,平成6年11月17日区域決定,93%
主要地方道第19号　町田調布線（鶴川街道）（坂浜）,稲城市坂浜地内,750m,平成21年4月7日区域決定,85%
主要地方道第19号　町田調布線（鶴川街道）（百村）,稲城市坂浜～同市百村,620m,平成29年1月25日事業認可,34%
主要地方道第47号　八王子町田線（町田街道）（相原）,町田市相原町地内,490m,平成26年12月1日事業認可,39%
一般都道第155号　町田平山八王子線（図師Ⅲ期その1）,町田市下山田町地内,300m,平成20年10月20日区域決定,59%
一般都道第155号　町田平山八王子線（図師Ⅲ期その2）,町田市下山田町地内,400m,平成24年9月24日区域決定,0%
主要地方道第32号　八王子五日市線（秋川街道）（楢原Ⅱ期）,八王子市楢原町地内,470m,平成26年7月25日事業認可,56%
一般都道第173号　上館日野線（北野街道）（南平Ⅱ期）,日野市南平三丁目～同市南平二丁目,460m,平成25年6月20日事業認可,49%
主要地方道第11号　大田調布線（狛江通り）（中和泉）,狛江市中和泉町五丁目～調布市国領町八丁目,"1,070m",平成17年11月25日区域決定,94%
一般都道第233号　東大泉田無線（保谷）,西東京市中町一丁目～同市泉町三丁目,"1,000m",平成7年3月12日区域決定,99%
一般都道第144号　中島十番線（中島町）,立川市幸町四丁目～小平市小川町一丁目,998m,平成27年8月6日事業認可,31%
一般都道第212号　三宅循環線（坪田Ⅰ期）,三宅村坪田地内,450m,平成31年2月19日区域決定,83%
一般都道第212号　三宅循環線（坪田Ⅱ期）,三宅村坪田地内,480m,平成30年11月30日区域決定,61%
一般都道第212号　三宅循環線（伊ヶ谷港線）,三宅村伊ヶ谷地内,"1,000m",令和3年3月3日区域決定,99%
一般都道第215号　八丈循環線（神子尾）,八丈町末吉地内,670m,令和2年6月9日区域決定,26%
一般都道第215号　八丈循環線（大里）,八丈町大賀郷地内,800m,平成30年12月14日区域決定,39%
一般都道第216号　神湊八重根港線（大賀郷Ⅰ期）,八丈町大賀郷地内,760m,平成25年12月18日区域決定,95%
一般都道第216号　神湊八重根港線（大賀郷Ⅱ期）,八丈町大賀郷地内,850m,平成28年12月6日区域決定,31%
特例都道第441号 池袋谷原線（富士街道）（春日町）,練馬区春日町五丁目～同区高松四丁目,780ｍ,平成18年3月17日区域決定,95%
主要地方道第68号 練馬川口線（土支田通り）,練馬区土支田三丁目～同区大泉町二丁目,220ｍ,平成22年7月23日区域決定,77%
特例都道第447号 赤羽西台線（舟渡交差点）,板橋区舟渡三丁目地内,150ｍ,平成20年1月23日区域決定,92%
国道14号（菅原橋）,江戸川区中央三丁目～同区本一色二丁目,500ｍ,平成20年2月25日区域決定,76%
主要地方道第29号 立川青梅線（奥多摩街道）（羽加美）,羽村市羽加美三丁目～同市羽中四丁目,300ｍ,平成21年10月15日区域決定,73%
主要地方道第31号 青梅あきる野線（秋川街道）（三内）,あきる野市三内地内,860m,平成24年10月3日事業認可,49%
主要地方道第45号 奥多摩青梅線（吉野街道）（梅郷）,青梅市梅郷四丁目～同市梅郷六丁目,360m,平成20年4月7日区域決定,88%
一般国道第411号 吉野街道（長淵６丁目）,青梅市長淵四丁目～同市長淵六丁目,400m,平成21年2月23日区域決定,98%
一般国道第411号 吉野街道（長淵その3）,青梅市長淵一丁目～同市長淵三丁目,340m,平成17年9月21日区域決定,73%
一般国道第411号 吉野街道（友田4）,青梅市友田町四丁目地内, 580m,平成16年3月10日区域決定,76%
主要地方道第7号 杉並あきる野線（五日市街道）（二宮神社前）,あきる野市二宮地内,200m,平成13年1月17日区域決定,95%
主要地方道第44号 瑞穂富岡線（岩蔵街道）（七日市場）,青梅市藤橋二丁目～同市今井二丁目,320m,平成22年3月16日区域決定,97%
主要地方道第3号 世田谷町田線（鶴川街道）（玉川学園）,町田市玉川学園四丁目～同市本町田,765m,平成8年2月28日区域決定,99%
主要地方道第19号 町田調布線（鶴川街道）(坂浜）,稲城市若葉台二丁目～同市坂浜地内,640m,平成19年9月26日区域決定,95%
主要地方道第47号 八王子町田線（町田街道）（木曽）,町田市木曽東一丁目～同市旭町二丁目,300m,平成20年12月9日区域決定,95%
主要地方道第57号 相模原大蔵町線（大蔵交差点）,町田市大蔵町地内,200m,平成21年6月10日区域決定,90%
主要地方道第3号 世田谷町田線（鶴川街道）（鶴川駅東口交差点）,町田市能ケ谷三丁目～同市能ケ谷一丁目,230m,平成18年10月13日区域決定,95%
主要地方道第19号 町田調布線（鶴川街道）（坂浜交差点）,稲城市坂浜地内,400m,平成21年1月23日区域決定,30%
一般都道第141号 辻原町田線（町田街道）（小川原交差点）,町田市小川七丁目～同市南町田三丁目,500m,平成20年9月8日区域決定,85%
一般都道第141号 辻原町田線（町田街道）（小川交差点）,町田市南町田三丁目～同市南町田二丁目,330m,平成14年5月13日区域決定,85%
一般都道第141号 辻原町田線（町田街道）（町田市辻交差点）,町田市鶴間八丁目～同市小川七丁目,180m,平成17年2月14日区域決定,86%
主要地方道第46号 八王子あきる野線（高尾街道）（八王子北高校）,八王子市楢原町地内,240m,平成27年11月17日区域決定,99%
一般都道第173号 上館日野線（北野街道）（長沼町）,八王子市長沼町地内,700m,平成20年1月22日区域決定,99%
