番号,観測地点,井戸高h1(m),井戸深h3(m),ストレーナ深h5(m),ストレーナ長h4(m),井戸標高（T.P+）(m)
(1),中野区新井北野神社,0.3,10.8,-,-,38.2
(2),東久留米市小平霊園,0,15,5.25,9.75,66.7
(3),三鷹市井の頭公園,0.76,9.76,-,-,48.1
(4),小金井市武蔵野公園,0,4.7,2.70,2.00,46.5
(5),小金井市前原,-0.1,10.7,3.00,7.00,48.1
(6),小金井市貫井南町,-0.3,10,5.00,4.00,52.9
