事業名,事業箇所,事業区間,延長,事業認可,用地取得率
放射第21号線,虎ノ門,港区虎ノ門一丁目 ～ 西新橋三丁目,895ｍ,平成31年3月20日,38%
環状第1号線,九段,千代田区九段南一丁目 ～ 一ツ橋一丁目,580ｍ,平成24年12月7日,75%
環状第4号線,港南・高輪,港区港南一丁目 ～ 高輪三丁目,"1,270m",令和元年7月29日,45%
環状第4号線,白金台,港区白金台二丁目 ～ 三丁目,800m,令和2年12月14日,2%
補助第4号線,乃木坂,港区六本木七丁目 ～ 赤坂八丁目,860ｍ,平成24年2月20日,91%
補助第11号線,白金,港区白金一丁目 ～ 二丁目,120ｍ,平成25年2月15日,56%
補助第11号線,白金Ⅱ期,港区白金二丁目～白金六丁目,935m,令和4年7月25日,0%
放射第2号線,西五反田,品川区西五反田七丁目 ～ 西中延一丁目,"1,255ｍ",平成27年1月28日,46%
放射第17号線,呑川,大田区大森南一丁目 ～ 西糀谷二丁目,345ｍ,平成12年11月17日,99%
放射第17号線,大森東,大田区大森東三丁目 ～ 大森南一丁目,800ｍ,平成25年2月15日,27%
放射第19号線,梅屋敷,大田区大森中一丁目 ～ 蒲田三丁目,"1,190ｍ",平成15年3月17日,90%
放射第23号線,北沢,世田谷区北沢四丁目 ～ 五丁目,595ｍ,平成3年6月28日,99%
放射第23号線,松原,世田谷区大原二丁目 ～ 杉並区和泉二丁目,"1,010ｍ",平成27年12月24日,31%
環状第5の1号線,神宮前,渋谷区神宮前一丁目 ～ 六丁目,640ｍ,平成16年3月31日,97%
環状第5の1号線,神宮前Ⅱ期,渋谷区神宮前一丁目 ～ 二丁目,560ｍ,平成28年3月15日,29%
環状第5の1号線,北参道,渋谷区千駄ヶ谷二丁目 ～ 五丁目,900ｍ,平成15年3月5日,99%
環状第5の1号線,千駄ヶ谷,渋谷区千駄ヶ谷五丁目 ～ 新宿区内藤町,805ｍ,平成3年1月10日,99%
環状第6号線,下目黒,品川区西五反田四丁目 ～ 目黒区下目黒二丁目,570ｍ,平成12年9月27日,99%
補助第11号線,Ⅰ期,渋谷区恵比寿一丁目 ～ 四丁目,390ｍ,平成10年7月10日,94%
補助第11号線,Ⅱ期,渋谷区恵比寿二丁目 ～ 三丁目,590ｍ,平成15年9月18日,37%
補助第26号線,目黒中央町,目黒区中央町一丁目 ～ 鷹番二丁目,760ｍ,平成19年9月6日,99%
補助第26号線,豊町,品川区二葉一丁目 ～ 豊町二丁目,665ｍ,平成4年1月9日,99%
補助第26号線,三宿,世田谷区三宿二丁目 ～ 池尻四丁目,440ｍ,平成20年12月11日,99%
補助第26号線,東北沢,目黒区駒場四丁目 ～ 渋谷区大山町 ～ 世田谷区北沢四丁目,550ｍ,平成18年12月15日,98%
補助第26号線,代沢,世田谷区代沢一丁目地内 ～ 目黒区駒場四丁目地内,975ｍ,令和元年7月18日,23%
補助第27号線,富士見橋,大田区大森西四丁目 ～ 二丁目,440ｍ,平成20年5月30日,97%
補助第28号線,南品川,品川区南品川五丁目,335ｍ,平成10年7月10日,70%
補助第28号線,大井,品川区大井三丁目 ～ 四丁目 ～ 五丁目,520ｍ,平成27年1月6日,84%
補助第29号線,大崎,品川区大崎三丁目 ～ 四丁目,520ｍ,平成26年3月24日,36%
補助第29号線,戸越,品川区西品川三丁目 ～ 戸越一丁目 ～ 二丁目 ～ 四丁目,825ｍ,平成26年9月19日,46%
補助第29号線,豊町,品川区豊町六丁目 ～ 二葉四丁目,550ｍ,平成26年3月24日,41%
補助第29号線,西大井,品川区二葉四丁目 ～ 西大井六丁目 ～ 五丁目,390ｍ,平成26年9月19日,23%
補助第29号線,西大井東馬込,品川区西大井五丁目 ～ 大田区東馬込二丁目,700ｍ,平成27年1月28日,56%
補助第52号線,宮坂,世田谷区豪徳寺二丁目 ～ 宮坂一丁目,295ｍ,平成28年1月19日,31%
補助第52号線,若林,世田谷区若林五丁目 ～ 豪徳寺二丁目,"1,310ｍ",平成27年1月28日,74%
補助第54号線,上祖師谷,世田谷区千歳台六丁目 ～ 上祖師谷四丁目,680ｍ,平成16年1月21日,99%
補助第125号線,喜多見,世田谷区喜多見八丁目 ～ 九丁目,420ｍ,平成7年9月7日,60%
補助第128号線,宮坂,世田谷区宮坂一丁目 ～ 二丁目,600ｍ,平成27年1月26日,42%
補助第128号線,桜・世田谷,世田谷区弦巻五丁目 ～ 宮坂一丁目,895ｍ,平成3年6月28日,97%
補助第212号線,用賀,世田谷区用賀二丁目 ～ 四丁目,600ｍ,昭和55年3月6日,99%
放射第5号線,久我山,杉並区上高井戸二丁目 ～ 久我山三丁目,"1,300ｍ",平成17年12月20日,99%
放射第25号線,若松町,新宿区新宿七丁目 ～ 若松町,860ｍ,平成22年10月18日,83%
放射第25号線,筑土八幡,新宿区箪笥町 ～ 津久戸町,830m,平成25年11月25日,32%
環状第3号線,曙橋,新宿区舟町 ～ 市谷本村町,365ｍ,平成11年3月12日,99%
環状第3号線,薬王寺町,新宿区市谷薬王寺町 ～ 市谷柳町,400ｍ,平成15年1月10日,99%
環状第3号線,弁天町,新宿区原町一丁目 ～ 榎町,580ｍ,平成20年12月25日,98%
環状第4号線,富久町,新宿区富久町 ～ 余丁町,330ｍ,平成23年2月14日,88%
環状第4号線,夏目坂,新宿区若松町 ～ 馬場下町,655ｍ,平成30年2月28日,14%
補助第26号線,杉山公園,中野区本町六丁目 ～ 中央四丁目,190ｍ,平成17年12月26日,23%
補助第26号線,中野五差路,中野区中央五丁目 ～ 四丁目,340ｍ,平成20年12月25日,99%
補助第26号線,江古田,中野区江古田一丁目 ～ 新宿区西落合四丁目,490ｍ,平成26年8月19日,49%
補助第26号線,江原町,中野区江古田一丁目 ～ 新宿区西落合四丁目,260m,令和2年3月10日,10%
補助第62号線,弥生町,渋谷区本町四丁目 ～ 中野区南台一丁目,520ｍ,平成6年12月20日,99%
補助第74号線,山手立体,新宿区高田馬場四丁目 ～ 大久保三丁目,650ｍ,平成5年4月14日,99%
補助第74号線,野方,中野区中野四丁目 ～ 野方一丁目,950ｍ,平成24年10月3日,60%
補助第133号線,白鷺,杉並区阿佐谷北六丁目 ～ 中野区白鷺二,700ｍ,平成27年3月31日,19%
補助第227号線,大和町,中野区大和町一丁目 ～ 四丁目,710ｍ,平成25年12月5日,89%
