年度,収入額（百万） の合計
H1,57803
H2,50930
H3,51180
H4,51360
H5,54231
H6,71174
H7,72989
H8,72505
H9,71044
H10,68591
H11,62162
H12,58984
H13,65176
H14,68935
H15,58826
H16,54513
H17,51394
H18,49157
H19,47585
H20,43456
H21,38989
H22,43930
H23,42670
H24,41184
H25,41962
H26,41166
H27,40869
H28,40774
H29,40774
H30,40113
R1,39251
R2,35378
R3,36157
R4,36735
R5（見込）,36966
R6（当初）,37713
