年度,狩猟者登録数 の合計
H16,502
H17,504
H18,487
H19,481
H20,452
H21,427
H22,389
H23,361
H24,351
H25,337
H26,329
H27,352
H28,376
H29,366
H30,388
R1,396
R2,394
R3,400
R4,404
