収入額（百万） の合計,年度
42362,H1
47703,H2
48289,H3
48375,H4
48561,H5
47873,H6
47575,H7
47280,H8
30696,H9
28403,H10
33607,H11
33987,H12
33362,H13
32475,H14
33444,H15
33744,H16
32819,H17
33546,H18
33195,H19
31201,H20
29329,H21
30246,H22
34526,H23
33792,H24
20088,H25
18134,H26
17859,H27
17244,H28
16382,H29
16217,H30
16196,R1
14923,R2
16022,R3
17023,R4
17507,R5（見込）
17379,R6（当初）
