年度,収入額（百万） の合計
H1,1580632
H2,1473358
H3,1481104
H4,1170746
H5,972227
H6,849477
H7,844452
H8,1072424
H9,986787
H10,929715
H11,807828
H12,956263
H13,1070889
H14,905489
H15,889559
H16,1066790
H17,1231662
H18,1341711
H19,1449967
H20,1313157
H21,682206
H22,559007
H23,537160
H24,570609
H25,681228
H26,728699
H27,892771
H28,1043654
H29,1009548
H30,1090658
R1,1207510
R2,1100209
R3,1324937
R4,1476795
R5（見込）,1531749
R6（当初）,1517299
