事務所,種類,評価額（千円）
千代田,専用住宅,633309
千代田,併用住宅,369614
千代田,アパート,70708
千代田,その他,376511
中央,専用住宅,2302849
中央,併用住宅,752341
中央,アパート,366106
中央,その他,373917
港,専用住宅,16138533
港,併用住宅,1231535
港,アパート,3094816
港,その他,916999
新宿,専用住宅,52092692
新宿,併用住宅,2932628
新宿,アパート,18899809
新宿,その他,1182040
文京,専用住宅,48016872
文京,併用住宅,1975787
文京,アパート,7362429
文京,その他,486341
台東,専用住宅,17744234
台東,併用住宅,4494003
文京,アパート,7538840
文京,その他,490526
墨田,専用住宅,44950928
墨田,併用住宅,4969037
墨田,アパート,6674422
墨田,その他,1198798
江東,専用住宅,51588673
江東,併用住宅,4286241
江東,アパート,6903437
江東,その他,1532819
品川,専用住宅,84298263
品川,併用住宅,5180075
品川,アパート,20450783
品川,その他,912661
目黒,専用住宅,90959932
目黒,併用住宅,3556943
目黒,アパート,26510306
目黒,その他,999709
大田,専用住宅,231917382
大田,併用住宅,11476307
大田,アパート,51569092
大田,その他,2370480
世田谷,専用住宅,361044703
世田谷,併用住宅,9746349
中央,アパート,366106
中央,その他,373917
渋谷,専用住宅,39777411
渋谷,併用住宅,2334332
渋谷,アパート,12915698
渋谷,その他,971682
中野,専用住宅,97228573
中野,併用住宅,3169636
中野,アパート,38934249
中野,その他,789418
杉並,専用住宅,250442939
杉並,併用住宅,6862741
杉並,アパート,64379749
杉並,その他,1818004
豊島,専用住宅,65533812
豊島,併用住宅,3595113
豊島,アパート,21033789
豊島,その他,624955
北,専用住宅,87940529
北,併用住宅,4434834
北,アパート,22245007
北,その他,813263
荒川,専用住宅,52624173
荒川,併用住宅,4846648
荒川,アパート,10237531
荒川,その他,889677
板橋,専用住宅,147069309
板橋,併用住宅,6629372
板橋,アパート,36336706
板橋,その他,1680658
練馬,専用住宅,325745546
練馬,併用住宅,9293483
練馬,アパート,56606355
練馬,その他,2563859
足立,専用住宅,264992499
足立,併用住宅,13050181
足立,アパート,50455599
足立,その他,3718394
葛飾,専用住宅,181995274
葛飾,併用住宅,10486011
葛飾,アパート,34551844
葛飾,その他,2567144
江戸川,専用住宅,231066304
江戸川,併用住宅,10768711
江戸川,アパート,48177525
江戸川,その他,2565475
