収入額（百万） の合計,年度
69062,H1
69717,H2
66001,H3
55856,H4
50405,H5
52892,H6
55268,H7
58723,H8
51154,H9
44783,H10
41340,H11
42035,H12
41637,H13
40344,H14
46318,H15
42566,H16
44765,H17
45597,H18
42437,H19
34949,H20
23174,H21
19434,H22
16994,H23
20227,H24
18969,H25
9178,H26
13836,H27
14348,H28
17318,H29
18131,H30
9266,R1
1,R2
0,R3
1,R4
360,R5（見込）
0,R6（当初）
