年度,収入額（百万） の合計
H1,46595
H2,52329
H3,57198
H4,57421
H5,53490
H6,51836
H7,51324
H8,51015
H9,53664
H10,54977
H11,49574
H12,49987
H13,52996
H14,54267
H15,54485
H16,54607
H17,54584
H18,55109
H19,56570
H20,57431
H21,55884
H22,51625
H23,49854
H24,47954
H25,48013
H26,48340
H27,49153
H28,50259
H29,51415
H30,52821
R1,53691
R2,54629
R3,56583
R4,68181
R5（見込）,58663
R6（当初）,58924
