事務所,地積,種類
千代田,3651967,宅地
千代田,0,田
千代田,0,畑
千代田,0,山林
千代田,408235,その他
中央,3939128,宅地
中央,0,田
中央,0,畑
中央,0,山林
中央,7443,その他
港,9343063,宅地
港,0,田
港,0,畑
港,0,山林
港,643232,その他
新宿,9862269,宅地
新宿,0,田
新宿,0,畑
新宿,0,山林
新宿,302243,その他
文京,5877177,宅地
文京,0,田
文京,0,畑
文京,0,山林
文京,70585,その他
台東,4534137,宅地
台東,0,田
台東,0,畑
台東,0,山林
台東,268748,その他
墨田,6840014,宅地
墨田,0,田
墨田,0,畑
墨田,0,山林
墨田,247731,その他
江東,14944520,宅地
江東,0,田
江東,0,畑
江東,0,山林
江東,665628,その他
品川,11501991,宅地
品川,0,田
品川,0,畑
品川,0,山林
品川,2106119,その他
目黒,9113079,宅地
目黒,0,田
目黒,21932,畑
目黒,5481,山林
目黒,133746,その他
大田,25015906,宅地
大田,0,田
大田,26327,畑
大田,10893,山林
大田,727075,その他
世田谷,35088045,宅地
世田谷,0,田
世田谷,906702,畑
世田谷,49664,山林
世田谷,688570,その他
渋谷,8122200,宅地
渋谷,0,田
渋谷,0,畑
渋谷,0,山林
渋谷,357984,その他
中野,10067589,宅地
中野,0,田
中野,20940,畑
中野,1349,山林
中野,261606,その他
杉並,21647320,宅地
杉並,0,田
杉並,343346,畑
杉並,11213,山林
杉並,370074,その他
豊島,7786544,宅地
豊島,0,田
豊島,0,畑
豊島,0,山林
豊島,375471,その他
北,9547624,宅地
北,0,田
北,3029,畑
北,7289,山林
北,893550,その他
荒川,5367624,宅地
荒川,0,田
荒川,0,畑
荒川,0,山林
荒川,491124,その他
板橋,18088271,宅地
板橋,0,田
板橋,125860,畑
板橋,20089,山林
板橋,253319,その他
練馬,28664974,宅地
練馬,0,田
練馬,1836494,畑
練馬,27097,山林
練馬,378760,その他
足立,27362931,宅地
足立,3742,田
足立,428316,畑
足立,226,山林
足立,689074,その他
葛飾,16589520,宅地
葛飾,0,田
葛飾,298409,畑
葛飾,0,山林
葛飾,506387,その他
江戸川,23326854,宅地
江戸川,419,田
江戸川,416387,畑
江戸川,0,山林
江戸川,274661,その他
