年度,内訳,一人当たり税額（円）
H12,全都,473397
H12,個人住民税,108850
H12,法人住民税,61373
H12,個人事業税,4143
H12,法人事業税,79265
H12,繰入地方消費税,25039
H12,固定資産税,111083
H13,全都,480390
H13,個人住民税,109817
H13,法人住民税,61669
H13,個人事業税,4354
H13,法人事業税,87983
H13,繰入地方消費税,25208
H13,固定資産税,110794
H14,全都,441757
H14,個人住民税,109274
H14,法人住民税,50969
H14,個人事業税,4419
H14,法人事業税,73740
H14,繰入地方消費税,23400
H14,固定資産税,107208
H15,全都,435354
H15,個人住民税,106701
H15,法人住民税,54162
H15,個人事業税,4405
H15,法人事業税,71920
H15,繰入地方消費税,26168
H15,固定資産税,103184
H16,全都,456333
H16,個人住民税,105696
H16,法人住民税,62438
H16,個人事業税,4385
H16,法人事業税,85672
H16,繰入地方消費税,27653
H16,固定資産税,103865
H17,全都,484233
H17,個人住民税,111749
H17,法人住民税,72813
H17,個人事業税,4340
H17,法人事業税,97933
H17,繰入地方消費税,28368
H17,固定資産税,102825
H18,全都,514646
H18,個人住民税,123134
H18,法人住民税,87617
H18,個人事業税,4347
H18,法人事業税,105830
H18,繰入地方消費税,27829
H18,固定資産税,99926
H19,全都,560153
H19,個人住民税,152663
H19,法人住民税,95769
H19,個人事業税,4407
H19,法人事業税,112969
H19,繰入地方消費税,27182
H19,固定資産税,100509
H20,全都,538690
H20,個人住民税,156920
H20,法人住民税,86526
H20,個人事業税,4429
H20,法人事業税,101278
H20,繰入地方消費税,25468
H20,固定資産税,100960
H21,全都,455950
H21,個人住民税,154086
H21,法人住民税,54178
H21,個人事業税,4273
H21,法人事業税,52166
H21,繰入地方消費税,26891
H21,固定資産税,103865
H22,全都,437102
H22,個人住民税,142536
H22,法人住民税,55371
H22,個人事業税,3923
H22,法人事業税,42480
H22,繰入地方消費税,26678
H22,固定資産税,106042
H23,全都,436161
H23,個人住民税,140688
H23,法人住民税,56039
H23,個人事業税,3781
H23,法人事業税,40735
H23,繰入地方消費税,26601
H23,固定資産税,107710
H24,全都,443626
H24,個人住民税,143549
H24,法人住民税,62167
H24,個人事業税,3626
H24,法人事業税,43144
H24,繰入地方消費税,26610
H24,固定資産税,104974
H25,全都,462128
H25,個人住民税,148572
H25,法人住民税,66994
H25,個人事業税,3610
H25,法人事業税,51216
H25,繰入地方消費税,26233
H25,固定資産税,105493
H26,全都,481978
H26,個人住民税,154028
H26,法人住民税,72733
H26,個人事業税,3608
H26,法人事業税,54388
H26,繰入地方消費税,31549
H26,固定資産税,106565
H27,全都,512734
H27,個人住民税,155805
H27,法人住民税,68589
H27,個人事業税,3637
H27,法人事業税,66056
H27,繰入地方消費税,51825
H27,固定資産税,108088
H28,全都,514434
H28,個人住民税,157043
H28,法人住民税,65737
H28,個人事業税,3686
H28,法人事業税,76535
H28,繰入地方消費税,46395
H28,固定資産税,108463
H29,全都,512675
H29,個人住民税,159976
H29,法人住民税,64580
H29,個人事業税,3733
H29,法人事業税,73298
H29,繰入地方消費税,47002
H29,固定資産税,107755
H30,全都,523661
H30,個人住民税,161910
H30,法人住民税,72148
H30,個人事業税,3803
H30,法人事業税,78527
H30,繰入地方消費税,39763
H30,固定資産税,110575
R1,全都,536147
R1,個人住民税,165759
R1,法人住民税,73002
R1,個人事業税,3834
R1,法人事業税,86226
R1,繰入地方消費税,37745
R1,固定資産税,112965
R2,全都,515172
R2,個人住民税,169320
R2,法人住民税,49150
R2,個人事業税,3889
R2,法人事業税,78320
R2,繰入地方消費税,45877
R2,固定資産税,114159
R3,全都,552403
R3,個人住民税,172157
R3,法人住民税,59492
R3,個人事業税,4038
R3,法人事業税,94561
R3,繰入地方消費税,50380
R3,固定資産税,115346
R4,全都,579659
R4,個人住民税,177397
R4,法人住民税,59555
R4,個人事業税,4856
R4,法人事業税,105179
R4,繰入地方消費税,53294
R4,固定資産税,120200
