年度,課税人員 の合計
H14,3546785
H15,8315298
H16,8346936
H17,8490446
H18,9149870
H19,9926558
H20,9429780
H21,7288201
H22,7417393
H23,5875968
H24,7662673
H25,9431290
H26,11693993
H27,14891091
H28,15957232
H29,16968919
H30,19188429
R1,19313507
R2,623158
R3,1669327
R4,10956644
